id,osm_id,osm_type,coordinates,name,description,amenity,bicycle_parking,capacity,access,covered,fee,supervised,lit,operator,operator_type,building,level,surface,addr_city,addr_street,addr_housenumber,addr_suburb,addr_postcode,opening_hours,payment_none,ref,source,source_date,wikidata,wikipedia,created_at,updated_at
28,node/299617743,node,POINT(-43.2321213 -22.9792554),PUC-Rio,,bicycle_parking,stands,200,,yes,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
29,way/303051460,way,POINT(-38.4721295 -12.9560311),Retiro,,bicycle_parking,stands,108,,yes,,,,,,yes,,,,,,,,,,,,,Q17631144,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
30,way/325219437,way,POINT(-46.7733483 -23.6312533),Bicicletário Terminal Campo Limpo,,bicycle_parking,shed,64,yes,yes,no,yes,,Socicam,,yes,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
31,node/327410562,node,POINT(-43.1781648 -22.9356172),,,bicycle_parking,,5,,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
32,node/331631023,node,POINT(-43.1697711 -22.9549734),,,bicycle_parking,,15,,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
33,node/332238483,node,POINT(-43.1805903 -22.9648264),,,bicycle_parking,stands,10,,no,no,,,,,,,,,,,,,,,,survey,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
34,way/334701632,way,POINT(-48.8138359 -26.2893365),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
35,node/338792635,node,POINT(-43.1769282 -22.957843),,,bicycle_parking,,,,yes,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
36,node/338798493,node,POINT(-43.1840564 -22.9478189),,,bicycle_parking,stands,10,,no,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
37,way/344186902,way,POINT(-40.3215356 -20.3922363),,,bicycle_parking,stands,,,yes,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
38,way/344566781,way,POINT(-40.3424368 -20.4385616),,,bicycle_parking,,,,,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
39,way/353502636,way,POINT(-50.4371412 -22.6495343),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
40,node/365743387,node,POINT(-43.1694194 -22.9637971),,,bicycle_parking,stands,3,,no,,,,,,,,,,,,,,,,,Bing,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
41,node/365743916,node,POINT(-43.1697464 -22.9639107),,,bicycle_parking,,3,,,,,,,,,,,,,,,,,,,Bing,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
42,node/365744391,node,POINT(-43.1687596 -22.9635007),,,bicycle_parking,stands,6,,,,,,,,,,,,,,,,,,,Bing,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
43,node/365744408,node,POINT(-43.1689038 -22.9635513),,,bicycle_parking,stands,6,,,,,,,,,,,,,,,,,,,Bing,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
