id,status_type,status_value,length,city_id,osm_id,name,pdc_typology,cycleway_typology
1,pdc_nao_realizado,0.2155060153630435,0.2155060153630435,2606804,way/128412172,Avenida Mário Melo,Ciclovia,none
2,pdc_nao_realizado,0.08644725283308578,0.08644725283308578,2607752,way/147176468,Avenida João Pessoa,Ciclovia,none
3,pdc_nao_realizado,0.566735393024224,0.566735393024224,2607752,way/185930103,Rua Frei Serafim,Ciclovia,none
4,pdc_nao_realizado,0.15714248957717458,0.15714248957717458,2607604,way/244966893,PE-035,Ciclovia,none
5,pdc_nao_realizado,2.824274019587135,2.824274019587135,2607604,way/244966894,Avenida Senador Paulo Pessoa Guerra,Ciclovia,none
6,pdc_nao_realizado,1.641220521808166,1.641220521808166,2606804,way/306781401,Avenida Mário Melo,Ciclovia,none
7,pdc_nao_realizado,0.07891171465223502,0.07891171465223502,2607752,way/400067614,PE-035,Ciclovia,none
8,pdc_nao_realizado,0.05941230327978588,0.05941230327978588,2607752,way/456679901,,Ciclovia,none
9,pdc_nao_realizado,0.39371974883099736,0.39371974883099736,2607752,way/538766191,Ponte Presidente Vargas,Ciclovia,none
10,pdc_nao_realizado,0.5662072674717903,0.5662072674717903,2607604,way/561829011,PE-035,Ciclovia,none
11,pdc_nao_realizado,0.01742374671597437,0.01742374671597437,2607752,way/561829012,PE-035,Ciclovia,none
12,pdc_nao_realizado,0.5455889871753941,0.5455889871753941,2607604,way/561835014,PE-035,Ciclovia,none
13,pdc_nao_realizado,0.19629588764294584,0.19629588764294584,2607604,way/561835033,PE-035,Ciclovia,none
14,pdc_nao_realizado,0.20009316255524318,0.20009316255524318,2607604,way/561838233,PE-035,Ciclovia,none
15,pdc_nao_realizado,0.031855327122454674,0.031855327122454674,2607604,way/561838234,PE-035,Ciclovia,none
16,pdc_nao_realizado,0.1035400561463156,0.1035400561463156,2607604,way/561841585,PE-035,Ciclovia,none
17,pdc_nao_realizado,0.024394562300116916,0.024394562300116916,2607604,way/561841586,PE-035,Ciclovia,none
18,pdc_nao_realizado,0.2739112398505849,0.2739112398505849,2607604,way/561841587,PE-035,Ciclovia,none
19,pdc_nao_realizado,0.06484904940294016,0.06484904940294016,2607604,way/561841590,PE-035,Ciclovia,none
20,pdc_nao_realizado,0.08111821871400951,0.08111821871400951,2607604,way/561841591,PE-035,Ciclovia,none
21,pdc_nao_realizado,0.19885651981003188,0.19885651981003188,2607604,way/561841595,PE-035,Ciclovia,none
22,pdc_nao_realizado,0.21346522216037309,0.21346522216037309,2607604,way/561841596,PE-035,Ciclovia,none
23,pdc_nao_realizado,0.06190391974867436,0.06190391974867436,2607604,way/561841597,PE-035,Ciclovia,none
24,pdc_nao_realizado,0.23389513471804615,0.23389513471804615,2607604,way/561841598,PE-035,Ciclovia,none
25,pdc_nao_realizado,0.02650796919424343,0.02650796919424343,2607604,way/561841611,PE-035,Ciclovia,none
26,pdc_nao_realizado,0.291427820395486,0.291427820395486,2607604,way/561841612,PE-035,Ciclovia,none
27,pdc_nao_realizado,0.017682244405458538,0.017682244405458538,2607604,way/562518663,PE-035,Ciclovia,none
28,pdc_nao_realizado,0.0513314628342079,0.0513314628342079,2607604,way/570558224,PE-035,Ciclovia,none
29,pdc_nao_realizado,0.13272519824220974,0.13272519824220974,2607604,way/570558234,PE-035,Ciclovia,none
30,pdc_nao_realizado,0.03670901267216604,0.03670901267216604,2607604,way/570558241,PE-035,Ciclovia,none
31,pdc_nao_realizado,0.03150261603408857,0.03150261603408857,2607604,way/570558277,PE-035,Ciclovia,none
32,pdc_nao_realizado,0.06634378559027043,0.06634378559027043,2607604,way/570558280,PE-035,Ciclovia,none
33,pdc_nao_realizado,0.08990143029511136,0.08990143029511136,2607752,way/589902511,Rua Frei Serafim,Ciclovia,none
34,pdc_nao_realizado,0.21275729105895688,0.21275729105895688,2607604,way/609841223,,Ciclovia,none
35,pdc_nao_realizado,0.06714635851153702,0.06714635851153702,2607604,way/609841226,PE-035,Ciclovia,none
36,pdc_nao_realizado,0.060587740173732994,0.060587740173732994,2607604,way/609841227,PE-035,Ciclovia,none
37,pdc_nao_realizado,0.5402879038299974,0.5402879038299974,2607752,way/610283890,PE-035,Ciclovia,none
38,pdc_nao_realizado,0.1786812998769843,0.1786812998769843,2607752,way/610283892,PE-035,Ciclovia,none
39,pdc_nao_realizado,0.21356533860765028,0.21356533860765028,2607752,way/610283893,PE-035,Ciclovia,none
40,pdc_nao_realizado,0.21771135727104693,0.21771135727104693,2607752,way/610283894,Rua Frei Serafim,Ciclovia,none
41,pdc_nao_realizado,0.23057262767482234,0.23057262767482234,2607752,way/610283895,Avenida João Pessoa,Ciclovia,none
42,pdc_nao_realizado,0.22279049605848056,0.22279049605848056,2606804,way/628605085,Avenida Mário Melo,Ciclovia,none
43,pdc_nao_realizado,0.01263945619801653,0.01263945619801653,2607752,way/742678671,PE-035,Ciclovia,none
44,pdc_nao_realizado,0.17042552093407226,0.17042552093407226,2607752,way/742678672,Rua Frei Serafim,Ciclovia,none
45,pdc_nao_realizado,0.04475945191103556,0.04475945191103556,2607752,way/742681480,Rua Frei Serafim,Ciclovia,none
46,pdc_nao_realizado,0.048282382208645745,0.048282382208645745,2607752,way/742697297,Avenida João Pessoa,Ciclovia,none
47,pdc_nao_realizado,0.1171971273537308,0.1171971273537308,2607752,way/742702364,Avenida João Pessoa,Ciclovia,none
48,pdc_nao_realizado,2.1182548436072293,2.1182548436072293,2607752,way/743244396,Avenida Mário Melo,Ciclovia,none
49,pdc_nao_realizado,0.15910670367826624,0.15910670367826624,2602902,way/791161156,,Ciclovia,none
