name,infra_type,status_type,city_id
Ciclovia Beira Mar,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
,Ciclovia,realizado_fora_pdc,2607901
Ciclovia Avenida Beira-Mar,Ciclovia,realizado_fora_pdc,2609600
Ciclovia Camilo Simões,Ciclovia,realizado_fora_pdc,2609600
Ponte Velha,Ciclofaixa,realizado_fora_pdc,2611606
Ciclovia Camilo Simões,Ciclovia,realizado_fora_pdc,2609600
Ciclovia Camilo Simões,Ciclovia,realizado_fora_pdc,2609600
,Ciclovia,realizado_fora_pdc,2610707
Rua Ministro João Alberto,Ciclorrota,realizado_fora_pdc,2611606
Avenida Inácio Monteiro,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marquês de Maricá,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Rio Branco,Calçada compartilhada,realizado_fora_pdc,2611606
Rua da Moeda,Calçada compartilhada,realizado_fora_pdc,2611606
Rua Monte Castelo,Ciclofaixa,realizado_fora_pdc,2611606
Rua Velha,Ciclofaixa,realizado_fora_pdc,2611606
Rua do Aragão,Ciclorrota,realizado_fora_pdc,2611606
Rua João Cardoso Aires,Ciclofaixa,realizado_fora_pdc,2611606
Rua Paissandú,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marcos André,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marcos André,Ciclorrota,realizado_fora_pdc,2611606
Rua Marquês do Paraná,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marechal Deodoro,Ciclorrota,realizado_fora_pdc,2611606
Rua Antônio Rangel,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marechal Deodoro,Ciclofaixa,realizado_fora_pdc,2611606
Rua Bruno Veloso,Ciclofaixa,realizado_fora_pdc,2611606
Rua Copacabana,Ciclorrota,realizado_fora_pdc,2611606
Praça da República,Ciclofaixa,realizado_fora_pdc,2611606
Rua José Veloso,Ciclorrota,realizado_fora_pdc,2611606
Rua Itanagé,Ciclofaixa,realizado_fora_pdc,2611606
Rua da Fundição,Ciclorrota,realizado_fora_pdc,2611606
Rua da Saudade,Ciclorrota,realizado_fora_pdc,2611606
Rua da Saudade,Ciclofaixa,realizado_fora_pdc,2611606
Rua do Riachuelo,Ciclorrota,realizado_fora_pdc,2611606
Rua do Riachuelo,Ciclofaixa,realizado_fora_pdc,2611606
Rua Doutor Leopoldo Lins,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Montevidéu,Ciclofaixa,realizado_fora_pdc,2611606
Rua Itacari,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Governador Agamenon Magalhães,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Governador Agamenon Magalhães,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Governador Agamenon Magalhães,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Governador Agamenon Magalhães,Ciclofaixa,realizado_fora_pdc,2611606
Rua Doutor Leopoldo Lins,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Montevidéu,Ciclofaixa,realizado_fora_pdc,2611606
Rua da Palma,Calçada compartilhada,realizado_fora_pdc,2611606
Avenida Governador Agamenon Magalhães,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Governador Agamenon Magalhães,Ciclofaixa,realizado_fora_pdc,2611606
Rua Othon Paraíso,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Oliveira Lima,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Agamenon Magalhães - Pista Local,Ciclofaixa,realizado_fora_pdc,2611606
Rua da Matriz,Ciclorrota,realizado_fora_pdc,2611606
Rua Othon Paraíso,Ciclofaixa,realizado_fora_pdc,2611606
Travessa do Cais da Detenção,Ciclofaixa,realizado_fora_pdc,2611606
Rua do Hospício,Ciclofaixa,realizado_fora_pdc,2611606
Avenida João de Barros,Ciclofaixa,realizado_fora_pdc,2611606
Rua Buenos Aires,Ciclofaixa,realizado_fora_pdc,2611606
Rua Nova,Ciclofaixa,realizado_fora_pdc,2611606
Rua Matias de Albuquerque,Calçada compartilhada,realizado_fora_pdc,2611606
Rua Imperatriz Teresa Cristina,Calçada compartilhada,realizado_fora_pdc,2611606
Avenida Cruz Cabugá,Ciclofaixa,realizado_fora_pdc,2611606
Praça da República,Ciclofaixa,realizado_fora_pdc,2611606
Rua Antônio Gomes de Freitas,Ciclofaixa,realizado_fora_pdc,2611606
Rua dos Coelhos,Ciclorrota,realizado_fora_pdc,2611606
Rua Dom Bosco,Ciclorrota,realizado_fora_pdc,2611606
Rua Jean Emile Favre,Ciclofaixa,realizado_fora_pdc,2611606
Rua Jean Emile Favre,Ciclofaixa,realizado_fora_pdc,2611606
Rua José de Alencar,Ciclofaixa,realizado_fora_pdc,2611606
Rua Visconde de Goiana,Ciclorrota,realizado_fora_pdc,2611606
Rua José de Alencar,Ciclofaixa,realizado_fora_pdc,2611606
Rua José de Alencar,Ciclofaixa,realizado_fora_pdc,2611606
Rua José de Alencar,Ciclofaixa,realizado_fora_pdc,2611606
Rua Doutor Alberto Wanderley,Ciclorrota,realizado_fora_pdc,2611606
Rua Senador José Henrique,Ciclorrota,realizado_fora_pdc,2611606
Rua Rosário da Boa Vista,Ciclorrota,realizado_fora_pdc,2611606
Rua Padre Inglês,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Luiz de Lacerda,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Maurício de Nassau,Ciclofaixa,realizado_fora_pdc,2611606
Rua Lindolfo Color,Ciclofaixa,realizado_fora_pdc,2611606
Rua Lindolfo Color,Ciclorrota,realizado_fora_pdc,2611606
Rua Carlos Gomes,Ciclofaixa,realizado_fora_pdc,2611606
Rua Alberto Paiva,Ciclofaixa,realizado_fora_pdc,2611606
Rua Bruno Veloso,Ciclofaixa,realizado_fora_pdc,2611606
Rua Félix de Brito Melo,Ciclorrota,realizado_fora_pdc,2611606
Rua Félix de Brito Melo,Ciclorrota,realizado_fora_pdc,2611606
Rua Professor Estevão Francisco da Costa,Ciclofaixa,realizado_fora_pdc,2611606
Rua Odete Monteiro,Ciclofaixa,realizado_fora_pdc,2611606
Rua Dianópolis,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marquês de Maricá,Ciclofaixa,realizado_fora_pdc,2611606
Rua Dez de Novembro,Ciclofaixa,realizado_fora_pdc,2611606
Rua Tomaz Gonzaga,Ciclofaixa,realizado_fora_pdc,2611606
Rua Souza Bandeira,Ciclofaixa,realizado_fora_pdc,2611606
Rua Doutor João Lacerda,Ciclofaixa,realizado_fora_pdc,2611606
Praça Professor Campelo Barreto,Ciclofaixa,realizado_fora_pdc,2611606
Rua Carandaí,Ciclorrota,realizado_fora_pdc,2611606
Avenida Professor Estevão Francisco da Costa,Ciclorrota,realizado_fora_pdc,2611606
Rua Joaquim Felipe,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marcos André,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marcos André,Ciclofaixa,realizado_fora_pdc,2611606
Rua Real da Torre,Ciclofaixa,realizado_fora_pdc,2611606
Rua Pio IX,Ciclorrota,realizado_fora_pdc,2611606
Rua Bruno Veloso,Ciclofaixa,realizado_fora_pdc,2611606
Rua Treze de Maio,Ciclofaixa,realizado_fora_pdc,2611606
Rua Bispo Cardoso Ayres,Ciclofaixa,realizado_fora_pdc,2611606
Rua Doutor Leopoldo Lins,Ciclofaixa,realizado_fora_pdc,2611606
Rua do Veiga,Ciclofaixa,realizado_fora_pdc,2611606
Rua Barros Barreto,Ciclorrota,realizado_fora_pdc,2611606
Rua Alegre,Ciclofaixa,realizado_fora_pdc,2611606
Rua São Bento,Ciclofaixa,realizado_fora_pdc,2611606
Rua Neto de Mendonça,Ciclofaixa,realizado_fora_pdc,2611606
Rua Parque das Graças,Ciclorrota,realizado_fora_pdc,2611606
Rua Doutor José Maria,Ciclofaixa,realizado_fora_pdc,2611606
Rua Alberto Paiva,Ciclofaixa,realizado_fora_pdc,2611606
Rua Esmeraldino Bandeira,Ciclofaixa,realizado_fora_pdc,2611606
Rua Frei Cassimiro,Ciclofaixa,realizado_fora_pdc,2611606
Rua Frei Cassimiro,Ciclofaixa,realizado_fora_pdc,2611606
Rua Tupinambás,Ciclorrota,realizado_fora_pdc,2611606
Rua Barros Barreto,Ciclorrota,realizado_fora_pdc,2611606
Rua General Abreu e Lima,Ciclofaixa,realizado_fora_pdc,2611606
Rua General Abreu e Lima,Ciclofaixa,realizado_fora_pdc,2611606
Rua Carlos Gomes,Ciclorrota,realizado_fora_pdc,2611606
Rua Simão Mendes,Ciclofaixa,realizado_fora_pdc,2611606
Rua Bruno Veloso,Ciclofaixa,realizado_fora_pdc,2611606
Rua Feliciano José de Farias,Ciclorrota,realizado_fora_pdc,2611606
Rua Paulo de Arruda,Ciclorrota,realizado_fora_pdc,2611606
Rua Paulo de Arruda,Ciclorrota,realizado_fora_pdc,2611606
Rua Antônio Rangel,Ciclofaixa,realizado_fora_pdc,2611606
Rua João Crescêncio,Ciclorrota,realizado_fora_pdc,2611606
Rua José Domingues da Silva,Ciclorrota,realizado_fora_pdc,2611606
Rua São Nicolau,Ciclofaixa,realizado_fora_pdc,2611606
Rua Pintor Antônio Albuquerque,Ciclorrota,realizado_fora_pdc,2611606
Rua Itanagé,Ciclorrota,realizado_fora_pdc,2611606
Rua Virgínia Heráclio,Ciclofaixa,realizado_fora_pdc,2611606
Rua Potengy,Ciclofaixa,realizado_fora_pdc,2611606
Rua Amaro Coutinho,Ciclofaixa,realizado_fora_pdc,2611606
Rua Blumenau,Ciclofaixa,realizado_fora_pdc,2611606
Rua São Nicolau,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Afonso Olindense,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Prefeito Lima Castro,Ciclofaixa,realizado_fora_pdc,2611606
Rua Ricardo Salazar,Ciclorrota,realizado_fora_pdc,2611606
Rua Ricardo Salazar,Ciclorrota,realizado_fora_pdc,2611606
Praça da Rua João Crescêncio,Ciclorrota,realizado_fora_pdc,2611606
Avenida Visconde de Jequitinhonha,Ciclorrota,realizado_fora_pdc,2611606
Avenida Visconde de Jequitinhonha,Ciclorrota,realizado_fora_pdc,2611606
Rua Marechal Deodoro,Ciclofaixa,realizado_fora_pdc,2611606
Rua da Coragem,Ciclofaixa,realizado_fora_pdc,2611606
Rua Retiro Saudoso,Ciclorrota,realizado_fora_pdc,2611606
Rua Doutor Alberto Wanderley,Ciclorrota,realizado_fora_pdc,2611606
Rua Carlos Fernandes,Ciclorrota,realizado_fora_pdc,2611606
Rua Pedro Alves,Ciclofaixa,realizado_fora_pdc,2611606
Rua Pedro Alves,Ciclorrota,realizado_fora_pdc,2611606
Rua Pedro Alves,Ciclorrota,realizado_fora_pdc,2611606
Praça do Baobá da Encruzilhada,Ciclorrota,realizado_fora_pdc,2611606
Rua Amaro Coutinho,Ciclofaixa,realizado_fora_pdc,2611606
Rua João Crescêncio,Ciclorrota,realizado_fora_pdc,2611606
Rua Baltazar Passos,Ciclorrota,realizado_fora_pdc,2611606
Avenida Vinte de Janeiro,Ciclorrota,realizado_fora_pdc,2611606
Rua Baltazar Passos,Ciclorrota,realizado_fora_pdc,2611606
Avenida Lino Jordão,Ciclofaixa,realizado_fora_pdc,2611606
Rua Soldado Sinésio de Aragão,Ciclofaixa,realizado_fora_pdc,2611606
Rua Camboim,Ciclorrota,realizado_fora_pdc,2611606
Rua Camboim,Ciclorrota,realizado_fora_pdc,2611606
Rua Waldemar Nery Carneiro Monteiro,Ciclorrota,realizado_fora_pdc,2611606
Rua Cosmorama,Ciclofaixa,realizado_fora_pdc,2611606
Rua Cosmorama,Ciclofaixa,realizado_fora_pdc,2611606
Rua Cosmorama,Ciclofaixa,realizado_fora_pdc,2611606
Rua Cosmorama,Ciclofaixa,realizado_fora_pdc,2611606
Rua Copacabana,Ciclorrota,realizado_fora_pdc,2611606
Rua dos Craveiros,Ciclorrota,realizado_fora_pdc,2611606
Avenida Sebastião Salazar,Ciclorrota,realizado_fora_pdc,2611606
Rua Arão Butler,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marquês do Paraná,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marquês do Paraná,Ciclofaixa,realizado_fora_pdc,2611606
Rua Doutor Fernando Allain,Ciclorrota,realizado_fora_pdc,2611606
Rua José Paraíso,Ciclorrota,realizado_fora_pdc,2611606
Rua Dona Uzinha Nunes,Ciclorrota,realizado_fora_pdc,2611606
Rua Padre Lemos,Ciclofaixa,realizado_fora_pdc,2611606
Rua Comendador Franco Ferreira,Ciclorrota,realizado_fora_pdc,2611606
Rua Cônsul Vilares Fragoso,Ciclorrota,realizado_fora_pdc,2611606
Rua Itapemirim,Ciclorrota,realizado_fora_pdc,2611606
Avenida República Árabe Unida,Ciclofaixa,realizado_fora_pdc,2611606
Rua Prudente de Morais,Ciclorrota,realizado_fora_pdc,2611606
Rua Mem de Sá,Ciclofaixa,realizado_fora_pdc,2611606
Rua Couto Magalhães,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Santos Dumont,Ciclofaixa,realizado_fora_pdc,2611606
Rua Madre Rosa Gattorno,Ciclofaixa,realizado_fora_pdc,2611606
Rua Fonseca Oliveira,Ciclorrota,realizado_fora_pdc,2611606
Rua Treze de Junho,Ciclofaixa,realizado_fora_pdc,2611606
Rua Itaimbé,Ciclorrota,realizado_fora_pdc,2611606
Rua João Cardoso Aires,Ciclorrota,realizado_fora_pdc,2611606
Rua João Cardoso Aires,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Pinheiros,Ciclofaixa,realizado_fora_pdc,2611606
Rua Engenheiro José Brandão Cavalcante,Ciclofaixa,realizado_fora_pdc,2611606
Rua Engenheiro José Brandão Cavalcante,Ciclofaixa,realizado_fora_pdc,2611606
Rua Amélia Xavier Sampaio,Ciclofaixa,realizado_fora_pdc,2611606
Rua Allan Kardec,Ciclofaixa,realizado_fora_pdc,2611606
Avenida José Ferreira Lins,Ciclofaixa,realizado_fora_pdc,2611606
Rua José Nogueira,Ciclofaixa,realizado_fora_pdc,2611606
Rua Nova Verona,Ciclofaixa,realizado_fora_pdc,2611606
Avenida José Ferreira Lins,Ciclofaixa,realizado_fora_pdc,2611606
Avenida José Ferreira Lins,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Senador Robert Kennedy,Ciclorrota,realizado_fora_pdc,2611606
Avenida Engenheiro Alves Souza,Ciclofaixa,realizado_fora_pdc,2611606
Rua Dona Elvira,Ciclofaixa,realizado_fora_pdc,2611606
Rua Professor Pedro Augusto,Ciclorrota,realizado_fora_pdc,2611606
Rua Major Godofredo Luiz Pereira de Lima,Ciclorrota,realizado_fora_pdc,2611606
Rua João Cardoso Aires,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Maurício de Nassau,Ciclofaixa,realizado_fora_pdc,2611606
Rua Jornalista Cleófas de Oliveira,Ciclofaixa,realizado_fora_pdc,2611606
Rua Jalisco,Ciclofaixa,realizado_fora_pdc,2611606
Rua Guadalajara,Ciclofaixa,realizado_fora_pdc,2611606
Avenida Sul,Ciclofaixa,realizado_fora_pdc,2611606
Ciclovia Mimoso do Sul,Ciclovia,realizado_fora_pdc,2611606
Avenida Sul,Ciclofaixa,realizado_fora_pdc,2611606
Rua Jornalista Cleófas de Oliveira,Ciclofaixa,realizado_fora_pdc,2611606
Rua Doutor Miguel Vieira Ferreira,Ciclorrota,realizado_fora_pdc,2611606
Rua Compositor Vinícius de Morais,Ciclovia,realizado_fora_pdc,2611606
Avenida Governador Agamenon Magalhães,Ciclofaixa,realizado_fora_pdc,2611606
Rua Professor Francisco da Trindade,Ciclofaixa,realizado_fora_pdc,2611606
Rua Professor Francisco da Trindade,Ciclofaixa,realizado_fora_pdc,2611606
Rua Hermílio Gomes,Ciclofaixa,realizado_fora_pdc,2611606
Rua Marquês de Abrantes,Ciclofaixa,realizado_fora_pdc,2611606
Rua Comendador Franco Ferreira,Ciclorrota,realizado_fora_pdc,2611606
Avenida Engenheiro Abdias de Carvalho - Pista Lateral,Ciclorrota,realizado_fora_pdc,2611606
Rua Emiliano Braga,Ciclofaixa,realizado_fora_pdc,2611606
Rua Jerônimo de Albuquerque,Ciclorrota,realizado_fora_pdc,2611606
Rua Doutora Antônia Dias,Ciclorrota,realizado_fora_pdc,2611606
Rua de Casa Forte,Ciclorrota,realizado_fora_pdc,2611606
Rua de Casa Forte,Ciclorrota,realizado_fora_pdc,2611606
Rua da Harmonia,Ciclofaixa,realizado_fora_pdc,2611606
Rua Silvino Lopes,Ciclorrota,realizado_fora_pdc,2611606
Rua Doutor Samuel Lins,Ciclorrota,realizado_fora_pdc,2611606
Rua Ambrósio Machado,Ciclofaixa,realizado_fora_pdc,2611606
Rua Ambrósio Machado,Ciclofaixa,realizado_fora_pdc,2611606
Rua Mauricéia,Ciclorrota,realizado_fora_pdc,2611606
Rua Emiliano Braga,Ciclofaixa,realizado_fora_pdc,2611606
Rua Gaspar Perez,Ciclofaixa,realizado_fora_pdc,2611606
Rua Paula Batista,Ciclofaixa,realizado_fora_pdc,2611606
Rua Paula Batista,Ciclofaixa,realizado_fora_pdc,2611606
Rua Xavantes,Ciclofaixa,realizado_fora_pdc,2611606
Rua Cosmorama,Ciclofaixa,realizado_fora_pdc,2611606
Rua Pedro Allain,Ciclofaixa,realizado_fora_pdc,2611606
