our_code,cttu_code,law_code,description,category,total
,"5274","Art. 175","Utilizar veculo para demonstrar/exibir manobra perigosa mediante derrapagem/frenagem com deslizamen","Segurança viária",94
,"6530","Art. 228","Usar no veculo equipamento com som em volume ou freqncia que no sejam autorizados pelo CONTRAN.","Outras/não classificadas",94
,"6440","Art. 224","Fazer uso do facho de luz alta dos faris em vias providas de iluminao pblica.","Segurança viária",94
,"7269","Art. 250; I; d","Quando o veículo estiver em movimento deixar de manter acesa a luz baixa, de dia, no caso de motocic","Segurança viária",93
,"5622","Art. 182; Inc. VI","Parar o veculo nas ilhas ou refgios.","Pedestres",90
,"7323","Art. 252; Inc. II","Dirigir o veculo transportando volume sua esquerda ou entre os braos e pernas.","Segurança viária",86
,"6190","Art. 216","Entrar ou sair de reas lindeiras sem estar adequadamente posicionado para ingresso na via e sem as","Pedestres",86
,"6858","Art. 231; Inc. VII","Transitar com o veículo com lotação excedente.","Segurança viária",85
,"6580","Art. 230; Inc. IV","Conduzir o veículo sem qualquer uma das placas de identificação.","Administrativas/documentais",84
,"7714","Art. 244; XI","Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro com o capacete de segurança co","Segurança viária",77
,"5959","Art. 203; Inc. IV","Ultrapassar pela contramão outro veículo parado em fila junto a sinais luminosos.","Segurança viária",76
,"5215","Art. 170","Dirigir ameaçando os demais veículos.","Pedestres",75
,"6670","Art. 230; Inc. XIII","Conduzir o veculo com o equipamento do sistema de iluminao e de sinalizao alterados.","Segurança viária",69
,"6610","Art. 230; Inc. VII","Conduzir o veculo com a caracterstica alterada.","Administrativas/documentais",64
,"6076","Art. 210","Transpor, sem autorizao, bloqueio virio policial.","Segurança viária",64
,"5657","Art. 182; Inc. IX","Parar o veculo na contramo de direo.","Estacionamento/uso da via",64
,"5061","Art. 163; c/c Art. 162; Inc. I","Entregar veículo a pessoa sem possuir Carteira Nacional de Habilitação, Permissão para Dirigir ou Au","Administrativas/documentais",64
,"6130","Art. 214; Inc. II","Deixar de dar preferência de passagem a pedestre e a veículo não motorizado que não haja concluído a","Pedestres",59
,"6564","Art. 230; Inc. II","Conduzir o veículo transportando passageiros em compartimento de carga.","Segurança viária",59
,"5584","Art. 182; Inc. II","Parar o veículo afastado da guia da calçada (meio-fio) de cinqüenta centímetros a um metro.","Estacionamento/uso da via",59
,"5029","Art. 162; Inc. II","Dirigir veculo com Carteira Nacional de Habilitao, Permisso para Dirigir ou Autorizao para Con","Administrativas/documentais",58
,"6653","Art. 230; Inc. XI","Conduzir o veículo com descarga livre.","Outras/não classificadas",58
,"6971","Art. 238","Recusar-se a entregar autoridade de trnsito ou a seus agentes, mediante recibo, os documentos de","Administrativas/documentais",54
,"5819","Art. 193","Transitar com veculo em passarelas.","Pedestres",53
,"5614","Art. 182; Inc. V","Parar o veculo na pista de rolamento das vias de trnsito rpido.","Segurança viária",52
,"5169","Art. 165","Dirigir sob a influência de álcool.","Segurança viária",52
,"5770","Art. 189","Deixar de dar passagem aos veculos de socorro de incndio e salvamento em servio de urgncia e dev","Segurança viária",51
,"5142","Art. 164; c/c Art. 162; Inc. V","Permitir posse/conduo do veculo a pessoa com CNH/PPD vencida h mais de 30 dias.","Administrativas/documentais",50
,"5878","Art. 199","Ultrapassar pela direita, salvo quando o veculo da frente estiver colocado na faixa apropriada e de","Segurança viária",49
,"7099","Art. 244; Inc. VII","Conduzir motocicleta, motoneta, ciclomotor sem segurar o guidom com ambas as mãos.","Segurança viária",47
,"5061","Art. 163; c/c Art. 162; Inc. I","Entregar veculo a pessoa sem possuir Carteira Nacional de Habilitao, Permisso para Dirigir ou Au","Administrativas/documentais",47
,"5223","Art. 171","Usar o veculo para arremessar sobre os pedestres, gua ou detritos.","Pedestres",47
,"5819","Art. 193","Transitar com veculo em ilhas, refgios.","Pedestres",45
,"7579","Art. 165-A","Recusar-se a ser submetido a teste, exame clínico, perícia ou outro procedimento que permita certifi","Segurança viária",44
,"5819","Art. 193","Transitar com veículo em passarelas.","Pedestres",44
,"5398","Art. 181; Inc. II","Estacionar o veículo afastado da guia da calçada (meio-fio) de cinqüenta centímetros a um metro.","Estacionamento/uso da via",42
,"5495","Art. 181; Inc. XII","Estacionar o veículo na área de cruzamento de vias, prejudicando a circulação de veículos e pedestre","Fluidez do trânsito",41
,"5800","Art. 192","Deixar de guardar distância de segurança lateral e frontal entre o seu veículo e os demais, bem como","Segurança viária",41
,"7293","Art. 251; Inc. I","Utilizar as luzes do veculo, o pisca-alerta, exceto em imobilizaes ou situaes de emergncia.","Segurança viária",41
,"5371","Art. 180","Ter seu veculo imobilizado na via por falta de combustvel.","Fluidez do trânsito",40
,"5053","Art. 162; Inc. VI","Dirigir veículo sem usar lentes corretoras de visão.","Segurança viária",40
,"6700","Art. 230; Inc. XVI","Conduzir o veículo com vidros total ou parcialmente cobertos por películas, painéis/ pintura.","Segurança viária",40
,"5371","Art. 180","Ter seu veículo imobilizado na via por falta de combustível.","Fluidez do trânsito",39
,"5096","Art. 163; c/c Art. 162; Inc. V","Entregar veículo a pessoa com CNH/PPD vencida há mais de trinta dias.","Administrativas/documentais",39
,"5517","Art. 181; Inc. XIV","Estacionar o veculo nas pontes.","Segurança viária",39
,"6084","Art. 211","Ultrapassar veculos motorizados em fila, parados em razo de sinal luminoso.","Fluidez do trânsito",39
,"7714","Art. 244; XI","Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro com o capacete de segurança se","Segurança viária",38
,"6947","Art. 235","Conduzir animais nas partes externas do veculo.","Segurança viária",37
,"5800","Art. 192","Deixar de guardar distncia de segurana lateral e frontal entre o seu veculo e os demais, bem como","Segurança viária",37
,"5819","Art. 193","Transitar com veículo em ilhas, refúgios.","Pedestres",36
,"5347","Art. 178","Deixar o condutor, envolvido em acidente sem vtima, de adotar providncias para remover o veculo d","Fluidez do trânsito",35
,"6009","Art. 206; Inc. II","Executar operao de retorno nas pontes.","Segurança viária",35
,"7374","Art. 253","Bloquear a via com veículo.","Fluidez do trânsito",34
,"5274","Art. 175","Utilizar veículo para demonstrar/exibir manobra perigosa mediante derrapagem/frenagem com deslizamen","Segurança viária",34
,"7374","Art. 253","Bloquear a via com veculo.","Fluidez do trânsito",33
,"5142","Art. 164; c/c Art. 162; Inc. V","Permitir posse/condução do veículo a pessoa com CNH/PPD vencida há mais de 30 dias.","Administrativas/documentais",33
,"6556","Art. 230; Inc. I","Conduzir o veículo com a placa violada ou falsificada.","Administrativas/documentais",32
,"5398","Art. 181; Inc. II","Estacionar o veculo afastado da guia da calada (meio-fio) de cinqenta centmetros a um metro.","Estacionamento/uso da via",32
,"6017","Art. 206; Inc. III","Executar operao de retorno passando por cima de ilhas, refgio.","Ciclistas",32
,"5878","Art. 199","Ultrapassar pela direita, salvo quando o veículo da frente estiver colocado na faixa apropriada e de","Segurança viária",30
,"7293","Art. 251; Inc. I","Utilizar as luzes do veículo, o pisca-alerta, exceto em imobilizações ou situações de emergência.","Segurança viária",30
,"5584","Art. 182; Inc. II","Parar o veculo afastado da guia da calada (meio-fio) de cinqenta centmetros a um metro.","Estacionamento/uso da via",30
,"6548","Art. 229","Usar no veículo aparelho de alarme ou que produza sons e ruído que perturbem o sossego público, em d","Outras/não classificadas",28
,"6009","Art. 206; Inc. II","Executar operação de retorno nas pontes.","Segurança viária",28
,"7072","Art. 244; Inc. V","Conduzir motocicleta, motoneta e ciclomotor transportando criana menor de sete anos.","Segurança viária",28
,"5053","Art. 162; Inc. VI","Dirigir veculo sem usar lentes corretoras de viso.","Segurança viária",28
,"6084","Art. 211","Ultrapassar veículos motorizados em fila, parados em razão de sinal luminoso.","Fluidez do trânsito",28
,"5770","Art. 189","Deixar de dar passagem aos veculos de polcia em servio de urgncia e devidamente identificados.","Segurança viária",27
,"6165","Art. 214; Inc. V","Deixar de dar preferncia de passagem a pedestre e a veiculo no motorizado que esteja atravessando","Pedestres",27
,"5789","Art. 190","Seguir o veiculo em servico de urgncia, estando este com prioridade de passagem devidamente identif","Segurança viária",26
,"6971","Art. 238","Recusar-se a entregar à autoridade de trânsito ou a seus agentes, mediante recibo, os documentos de","Administrativas/documentais",26
,"5797","Art. 191","Forçar passagem entre veículos que, transitando em sentidos opostos, estejam na iminência de passar","Segurança viária",25
,"7064","Art. 244; Inc. IV","Conduzir motocicleta, motoneta e ciclomotor com faróis apagados.","Segurança viária",25
,"5223","Art. 171","Usar o veículo para arremessar sobre os pedestres, água ou detritos.","Pedestres",25
,"5622","Art. 182; Inc. VI","Parar o veículo nas marcas de canalização.","Pedestres",24
,"5231","Art. 172","Abandonar na via objetos ou substncias.","Segurança viária",24
,"5576","Art. 182; Inc. I","Parar o veículo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transversal.","Estacionamento/uso da via",24
,"6270","Art. 220; Inc. II","Deixar de reduzir a velocidade de forma compatvel com a segurana do trnsito nos locais onde o tr","Segurança viária",24
,"6394","Art. 220; Inc. XIV","Deixar de reduzir a velocidade do veculo de forma compatvel com a segurana do trnsito onde haja","Pedestres",21
,"6645","Art. 230; Inc. X","Conduzir o veculo com equipamento obrigatrio em desacordo com o estabelecido pelo CONTRAN.","Segurança viária",21
,"7030","Art. 244; Inc. I","Conduzir motocicleta, motoneta e ciclomotor sem vesturio aprovado pelo CONTRAN.","Segurança viária",21
,"6653","Art. 230; Inc. XI","Conduzir o veculo com descarga livre.","Outras/não classificadas",19
,"6955","Art. 236","Rebocar outro veculo com cabo flexvel ou corda.","Segurança viária",19
,"6432","Art. 223","Transitar com o farol desregulado de forma a perturbar a viso de outro condutor.","Segurança viária",19
,"5657","Art. 182; Inc. IX","Parar o veículo na contramão de direção.","Estacionamento/uso da via",19
,"6157","Art. 214; Inc. IV","Deixar de dar preferncia de passagem a pedestre e a veculo no motorizado quando iniciado a traves","Pedestres",19
,"5770","Art. 189","Deixar de dar passagem aos veículos de socorro de incêndio e salvamento em serviço de urgência e dev","Segurança viária",18
,"5517","Art. 181; Inc. XIV","Estacionar o veculo nos viadutos.","Segurança viária",17
,"6980","Art. 239","Retirar do local veculo legalmente retido para regularizao, sem permisso da autoridade competent","Administrativas/documentais",17
,"5134","Art. 164; c/c Art. 162; Inc. III","Permitir posse/condução do veículo a pessoa com CNH de categoria diferente da do veículo.","Administrativas/documentais",17
,"5347","Art. 178","Deixar o condutor, envolvido em acidente sem vítima, de adotar providências para remover o veículo d","Fluidez do trânsito",16
,"5797","Art. 191","Forar passagem entre veculos que, transitando em sentidos opostos, estejam na iminncia de passar","Segurança viária",16
,"6700","Art. 230; Inc. XVI","Conduzir o veculo com vidros total ou parcialmente cobertos por pelculas, painis/ pintura.","Segurança viária",16
,"6149","Art. 214; Inc. III","Deixar de dar preferncia de passagem a pedestre portadores de deficincia fsica, crianas, idosos","Pedestres",16
,"6629","Art. 230; Inc. VIII","Conduzir o veculo sem ter sido submetido inspeo de segurana veicular, quando obrigatria.","Segurança viária",16
,"5649","Art. 182; Inc. VIII","Parar o veculo nas pontes.","Segurança viária",16
,"5282","Art. 176; Inc. I","Deixar o condutor envolvido em acidente com vtima de prestar ou providenciar socorro vtima, pode","Segurança viária",15
,"6629","Art. 230; Inc. VIII","Conduzir o veículo sem ter sido submetido à inspeção de segurança veicular, quando obrigatória.","Segurança viária",15
,"7072","Art. 244; Inc. V","Conduzir motocicleta, motoneta e ciclomotor transportando criança menor de 10 (dez) anos.","Segurança viária",15
,"7048","Art. 244; Inc. II","Conduzir motocicleta, motoneta e ciclomotor transportando passageiro fora do assento suplementar col","Segurança viária",14
,"6084","Art. 211","Ultrapassar veculos motorizados em fila, parados em razo de qualquer outro obstculo.","Fluidez do trânsito",14
,"6521","Art. 227; Inc. V","Usar buzina em desacordo com os padres e freqncias estabelecidas pelo CONTRAN.","Outras/não classificadas",14
,"6556","Art. 230; Inc. I","Conduzir o veculo com a placa violada ou falsificada.","Administrativas/documentais",14
,"5258","Art. 174","Promover, na via, exibio e demonstrao de percia em manobra de veculo sem permisso da autorida","Segurança viária",14
,"5223","Art. 171","Usar o veículo para arremessar sobre os veículos, água ou detritos.","Pedestres",14
,"5231","Art. 172","Abandonar na via objetos ou substâncias.","Segurança viária",13
,"5258","Art. 174","Promover, na via, exibição e demonstração de perícia em manobra de veículo sem permissão da autorida","Segurança viária",13
,"5126","Art. 164; c/c Art. 162; Inc. II","Permitir posse/condução do veículo a pessoa com Carteira Nacional de Habilitação, Permissão para Dir","Administrativas/documentais",13
,"5290","Art. 176; Inc. II","Deixar o condutor envolvido em acidente com vtima de adotar providncias, podendo faz-lo, no senti","Segurança viária",13
,"5819","Art. 193","Transitar com veculo em ajardinamentos, gramados e jardins pblicos.","Pedestres",13
,"5622","Art. 182; Inc. VI","Parar o veículo nos canteiros centrais e divisores de pista de rolamento.","Pedestres",13
,"6785","Art. 231; Inc. II; alnea a","Transitar com veculo derramando a carga que esteja transportando.","Segurança viária",12
,"6980","Art. 239","Retirar do local veículo legalmente retido para regularização, sem permissão da autoridade competent","Administrativas/documentais",12
,"5134","Art. 164; c/c Art. 162; Inc. III","Permitir posse/conduo do veculo a pessoa com CNH de categoria diferente da do veculo.","Administrativas/documentais",12
,"5711","Art. 185; Inc. II","Deixar de conservar nas faixas da direita, o veculo lento e de maior porte.","Fluidez do trânsito",12
,"6955","Art. 236","Rebocar outro veículo com cabo flexível ou corda.","Segurança viária",12
,"5983","Art. 205","Ultrapassar veículo em movimento que integre cortejo, préstito, desfile e formações militares.","Fluidez do trânsito",12
,"5916","Art. 202; Inc. II","Ultrapassar outro veculo em intersees.","Segurança viária",11
,"5746","Art. 187; Inc. I","Transitar em locais e horrios no permitidos pela regulamentao - rodzio.","Fluidez do trânsito",11
,"6785","Art. 231; Inc. II; alínea a","Transitar com veículo derramando a carga que esteja transportando.","Segurança viária",11
,"5517","Art. 181; Inc. XIV","Estacionar o veículo nos viadutos.","Segurança viária",11
,"6661","Art. 230; Inc. XII","Conduzir o veculo com equipamento ou acessrio proibido.","Segurança viária",11
,"6386","Art. 220; Inc. XIII","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito ao ultrapa","Ciclistas",11
,"6440","Art. 224","Fazer uso do facho de luz alta dos faróis em vias providas de iluminação pública.","Segurança viária",11
,"5770","Art. 189","Deixar de dar passagem aos veculos de operao e fiscalizao de trnsito devidamente identificados","Segurança viária",10
,"5614","Art. 182; Inc. V","Parar o veculo na pista de rolamento das demais vias dotadas de acostamento.","Segurança viária",10
,"5606","Art. 182; Inc. IV","Parar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.","Estacionamento/uso da via",10
,"6394","Art. 220; Inc. XIV","Deixar de reduzir a velocidade do veculo de forma compatvel com a segurana do trnsito nas proxim","Pedestres",10
,"6947","Art. 235","Conduzir animais nas partes externas do veículo.","Segurança viária",10
,"7439","Art. 254; Inc. VI","É proibido ao pedestre desobedecer à sinalização de trânsito específica.","Pedestres",10
,"6572","Art. 230; Inc. III","Conduzir o veículo com dispositivo anti-radar.","Segurança viária",9
,"7080","Art. 244; Inc. VI","Conduzir motocicleta, motoneta e ciclomotor rebocando outro veículo.","Segurança viária",9
,"6394","Art. 220; Inc. XIV","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito onde haja","Pedestres",9
,"5240","Art. 173","Disputar corrida.","Segurança viária",9
,"5789","Art. 190","Seguir o veiculo em servico de urgência, estando este com prioridade de passagem devidamente identif","Segurança viária",9
,"6149","Art. 214; Inc. III","Deixar de dar preferência de passagem a pedestre portadores de deficiência física, crianças, idosos","Pedestres",9
,"6661","Art. 230; Inc. XII","Conduzir o veículo com equipamento ou acessório proibido.","Segurança viária",9
,"7102","Art. 244; Inc. VIII","Conduzir motocicleta, motoneta, ciclomotor transportando carga incompatvel com suas especificaes.","Segurança viária",8
,"6947","Art. 235","Conduzir carga nas partes externas do veculo.","Segurança viária",8
,"7218","Art. 248","Transportar em veculo destinado ao transporte de passageiros, carga excedente em desacordo com o es","Segurança viária",8
,"6017","Art. 206; Inc. III","Executar operao de retorno passando por cima de faixas de veculos no motorizados.","Ciclistas",8
,"5770","Art. 189","Deixar de dar passagem aos veículos de polícia em serviço de urgência e devidamente identificados.","Segurança viária",8
,"5517","Art. 181; Inc. XIV","Estacionar o veículo nas pontes.","Segurança viária",8
,"6947","Art. 235","Conduzir pessoas nas partes externas do veculo.","Segurança viária",8
,"7331","Art. 252; Inc. III","Dirigir o veculo com incapacidade fsica ou mental temporria que comprometa a segurana do trnsit","Segurança viária",8
,"6181","Art. 215; Inc. II","Deixar de dar preferência de passagem nas interseções com sinalização de regulamentação - Dê a Prefe","Segurança viária",8
,"6270","Art. 220; Inc. II","Deixar de reduzir a velocidade de forma compatível com a segurança do trânsito nos locais onde o trâ","Segurança viária",8
,"6394","Art. 220; Inc. XIV","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito nas proxim","Pedestres",8
,"6165","Art. 214; Inc. V","Deixar de dar preferência de passagem a pedestre e a veiculo não motorizado que esteja atravessando","Pedestres",8
,"6157","Art. 214; Inc. IV","Deixar de dar preferência de passagem a pedestre e a veículo não motorizado quando iniciado a traves","Pedestres",8
,"7102","Art. 244; Inc. VIII","Conduzir motocicleta, motoneta, ciclomotor transportando carga incompatível com suas especificações.","Segurança viária",8
,"6017","Art. 206; Inc. III","Executar operação de retorno passando por cima de ilhas, refúgio.","Ciclistas",7
,"5223","Art. 171","Usar o veculo para arremessar sobre os veculos, gua ou detritos.","Pedestres",7
,"5088","Art. 163; c/c Art. 162; Inc. III","Entregar veculo a pessoa com Carteira Nacional de Habilitao de categoria diferente da do veculo","Administrativas/documentais",7
,"5096","Art. 163; c/c Art. 162; Inc. V","Entregar veculo a pessoa com CNH/PPD vencida h mais de trinta dias.","Administrativas/documentais",7
,"5762","Art. 188","Transitar ao lado de outro veculo, interrompendo ou perturbando o trnsito.","Fluidez do trânsito",7
,"5770","Art. 189","Deixar de dar passagem aos veículos de operação e fiscalização de trânsito devidamente identificados","Segurança viária",7
,"7242","Art. 250; I; b","Quando o veculo estiver em movimento deixar de manter acesa a luz baixa de dia, nos tneis providos","Segurança viária",7
,"5959","Art. 203; Inc. IV","Ultrapassar pela contramo outro veculo parado em fila junto a cruzamentos.","Segurança viária",7
,"6548","Art. 229","Usar no veculo aparelho de alarme ou que produza sons e rudo que perturbem o sossego pblico, em d","Outras/não classificadas",6
,"7617","Art. 253-A","Usar qualquer veículo para, deliberadamente, interromper circulação na via sem autorização do órgão.","Fluidez do trânsito",6
,"6734","Art. 230; Inc. XIX","Conduzir o veculo sem acionar o limpador de pra-brisa sob chuva.","Segurança viária",6
,"5428","Art. 181; Inc. V","Estacionar o veculo na pista de rolamento das vias de trnsito rpido.","Segurança viária",6
,"5916","Art. 202; Inc. II","Ultrapassar outro veículo em interseções.","Segurança viária",6
,"5614","Art. 182; Inc. V","Parar o veculo na pista de rolamento das estradas.","Segurança viária",6
,"7323","Art. 252; Inc. II","Dirigir o veculo transportando pessoas, sua esquerda ou entre os braos e pernas.","Segurança viária",6
,"5819","Art. 193","Transitar com veículo em ajardinamentos, gramados e jardins públicos.","Pedestres",6
,"6173","Art. 215; Inc. I; alínea a","Deixar de dar preferência de passagem, em intersecção não sinalizada, a veículo que estiver circulan","Segurança viária",5
,"7080","Art. 244; Inc. VI","Conduzir motocicleta, motoneta e ciclomotor rebocando outro veculo.","Segurança viária",5
,"7056","Art. 244; Inc. III; c/c §1º","Conduzir ciclo fazendo malabarismo ou equilibrando-se em uma roda.","Segurança viária",5
,"5126","Art. 164; c/c Art. 162; Inc. II","Permitir posse/conduo do veculo a pessoa com Carteira Nacional de Habilitao, Permisso para Dir","Administrativas/documentais",5
,"6173","Art. 215; Inc. I; alínea b","Deixar de dar preferência de passagem, em intersecção não sinalizada, a veículo que vier da direita.","Segurança viária",5
,"6173","Art. 215; Inc. I; alnea a","Deixar de dar preferncia de passagem, em interseco no sinalizada, a veculo que estiver circulan","Segurança viária",5
,"6432","Art. 223","Transitar com o facho de luz alta de forma a perturbar a viso de outro condutor.","Segurança viária",5
,"5088","Art. 163; c/c Art. 162; Inc. III","Entregar veículo a pessoa com Carteira Nacional de Habilitação de categoria diferente da do veículo","Administrativas/documentais",5
,"5070","Art. 163; c/c Art. 162; Inc. II","Entregar veculo a pessoa com Carteira Nacional de Habilitao, Permisso para Dirigir ou Autoriza","Administrativas/documentais",5
,"5959","Art. 203; Inc. IV","Ultrapassar pela contramão outro veículo parado em fila junto a cruzamentos.","Segurança viária",5
,"6777","Art. 231; Inc. I","Transitar com o veculo danificando a via, suas instalaes e equipamentos.","Segurança viária",5
,"5959","Art. 203; Inc. IV","Ultrapassar pela contramo outro veculo parado em fila junto a qualquer outro impedimento livre c","Segurança viária",5
,"6360","Art. 220; Inc. XI","Deixar de reduzir a velocidade do veculo de forma compatvel com a segurana do trnsito aproxima","Segurança viária",5
,"6556","Art. 230; Inc. I","Conduzir o veculo com o selo violado ou falsificado.","Administrativas/documentais",5
,"6262","Art. 220; Inc. I","Deixar de reduzir a velocidade do veiculo de forma compativel com a seguranca do trnsito quando se","Pedestres",5
,"5932","Art. 203; Inc. II","Ultrapassar pela contramo outro veculo nas faixas de pedestre.","Pedestres",5
,"5290","Art. 176; Inc. II","Deixar o condutor envolvido em acidente com vítima de adotar providências, podendo fazê-lo, no senti","Segurança viária",5
,"5614","Art. 182; Inc. V","Parar o veículo na pista de rolamento das vias de trânsito rápido.","Segurança viária",5
,"5282","Art. 176; Inc. I","Deixar o condutor envolvido em acidente com vítima de prestar ou providenciar socorro à vítima, pode","Segurança viária",5
,"7102","Art. 244 inciso VIII","Conduzir motoc/moton/transportando carga em desacordo c/ 2 do artigo 139 - a CTB","Segurança viária",5
,"6513","Art. 227; Inc. IV","Usar buzina em locais e horrios proibidos pela sinalizao.","Outras/não classificadas",5
,"6513","Art. 227; Inc. IV","Usar buzina em locais e horários proibidos pela sinalização.","Outras/não classificadas",5
,"6459","Art. 225; Inc. I","Deixar de sinalizar a via para tornar visível o local, quando tiver de remover o veículo da pista de","Segurança viária",4
,"6297","Art. 220; Inc. IV","Deixar de reduzir a velocidade do veculo de forma compatvel com a segurana do trnsito ao aproxim","Segurança viária",4
,"6327","Art. 220; Inc. VII","Deixar de reduzir a velocidade do veculo de forma compatvel com a segurana do trnsito ao aproxim","Segurança viária",4
,"5649","Art. 182; Inc. VIII","Parar o veculo nos viadutos.","Segurança viária",4
,"6521","Art. 227; Inc. V","Usar buzina em desacordo com os padrões e freqüências estabelecidas pelo CONTRAN.","Outras/não classificadas",4
,"5266","Art. 174","Participar na via, como condutor, de exibio e demonstrao de percia em manobra de veculo, sem p","Segurança viária",4
,"5304","Art. 176; Inc. III","Deixar o condutor envolvido em acidente com vtima de preservar o local, de forma a facilitar os tra","Segurança viária",4
,"7765","Art. 278; § único c/c 210","FUGIR O CONDUTOR A ACAO POLICIAL","Segurança viária",4
,"6823","Art. 231; Inc. IV","Transitar com o veculo e/ou carga com dimenses superiores aos limites estabelecidos pela sinaliza","Segurança viária",4
,"6947","Art. 235","Conduzir carga nas partes externas do veículo.","Segurança viária",4
,"7110","Art. 244; § 1º; alínea a","Conduzir ciclo transportando passageiro fora da garupa ou do assento especial a ele destinado.","Ciclistas",4
,"7226","Art. 249","Deixar de manter acesas, noite, as luzes de posio, quando o veculo estiver parado para fins de","Segurança viária",4
,"7242","Art. 250; I; b","Quando o veículo estiver em movimento deixar de manter acesa a luz baixa de dia, sob chuva, neblina","Segurança viária",4
,"5762","Art. 188","Transitar ao lado de outro veículo, interrompendo ou perturbando o trânsito.","Fluidez do trânsito",4
,"5037","Art. 162; Inc. III","Dirigir veculo com Permisso para Dirigir de categoria diferente da do veculo.","Administrativas/documentais",4
,"5614","Art. 182; Inc. V","Parar o veículo na pista de rolamento das demais vias dotadas de acostamento.","Segurança viária",4
,"6254","Art. 219","Transitar em velocidade inferior metade da mxima da via, salvo faixa da direita.","Fluidez do trânsito",4
,"6262","Art. 220; Inc. I","Deixar de reduzir a velocidade do veiculo de forma compativel com a seguranca do trânsito quando se","Pedestres",4
,"7617","Art. 253-A","Usar qualquer veculo para, deliberadamente, interromper circulao na via sem autorizao do rgo.","Fluidez do trânsito",3
,"5428","Art. 181; Inc. V","Estacionar o veículo na pista de rolamento das vias de trânsito rápido.","Segurança viária",3
,"6424","Art. 222","Deixar de manter ligado, nas situaes de atendimento de emergncia, o sistema de iluminao vermelh","Segurança viária",3
,"5770","Art. 189","Deixar de dar passagem aos veículos precedidos de batedores devidamente identificados.","Segurança viária",3
,"5614","Art. 182; Inc. V","Parar o veculo na pista de rolamento das rodovias.","Segurança viária",3
,"5320","Art. 176; Inc. V","Deixar o condutor envolvido em acidente com vtima de identificar-se ao policial e de lhe prestar in","Administrativas/documentais",3
,"5444","Art. 181; Inc. VII","Estacionar o veculo nos acostamentos, salvo motivo de fora maior.","Estacionamento/uso da via",3
,"7269","Art. 250; Inc. I; alnea d","Quando o veculo estiver em movimento deixar de manter acesa a luz baixa, de dia e de noite, tratand","Segurança viária",3
,"5746","Art. 187; Inc. I","Transitar em locais e horários não permitidos pela regulamentação - rodízio.","Fluidez do trânsito",3
,"7250","Art. 250; Inc. I; alnea c","Quando o veculo estiver em movimento deixar de manter acesa a luz baixa, de dia e de noite, tratand","Segurança viária",3
,"6297","Art. 220; Inc. IV","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito ao aproxim","Segurança viária",3
,"6807","Art. 231; Inc. II; alínea c","Transitar com o veículo derramando, lançando ou arrastando qualquer objeto que possa acarretar risco","Segurança viária",3
,"7137","Art. 244; § 1º; alínea c","Conduzir ciclo transportando crianças sem condições de cuidar de sua própria segurança.","Ciclistas",3
,"7099","Art.244; Inc. VII; c/c 1","Conduzir ciclo sem segurar o guidom com ambas as mos.","Segurança viária",3
,"6386","Art. 220; Inc. XIII","Deixar de reduzir a velocidade do veculo de forma compatvel com a segurana do trnsito ao ultrapa","Ciclistas",3
,"7137","Art. 244; 1; alnea c","Conduzir ciclo transportando crianas sem condies de cuidar de sua prpria segurana.","Ciclistas",3
,"6173","Art. 215; Inc. I; alnea b","Deixar de dar preferncia de passagem, em interseco no sinalizada, a veculo que vier da direita.","Segurança viária",3
,"6289","Art. 220; Inc. III","Deixar de reduzir a velocidade do veculo de forma compatvel com a segurana do trnsito ao aproxim","Segurança viária",3
,"5908","Art. 202; Inc. I","Ultrapassar outro veculo pelo acostamento.","Segurança viária",3
,"5932","Art. 203; Inc. II","Ultrapassar pela contramão outro veículo nas faixas de pedestre.","Pedestres",3
,"6084","Art. 211","Ultrapassar veculos motorizados em fila, parados em razo de bloqueio virio parcial.","Fluidez do trânsito",3
,"5894","Art. 201","Deixar de guardar a distncia lateral de um metro e cinqenta centmetros ao passar ou ultrapassar b","Ciclistas",3
,"5975","Art. 204","Deixar de parar o veculo no acostamento direita, para aguardar a oportunidade de cruzar pista ou","Segurança viária",3
,"5860","Art. 198","Deixar de dar passagem pela esquerda, quando solicitado.","Fluidez do trânsito",3
,"5312","Art. 176; Inc. IV","Deixar o condutor envolvido em acidente com vtima de adotar providncias para remover o veculo do","Fluidez do trânsito",3
,"6866","Art. 231; Inc. VIII","Transitar com o veículo efetuando transporte remunerado de bens, quando não for licenciado para esse","Administrativas/documentais",2
,"6866","Art. 231; Inc. VIII","Transitar com o veículo efetuando transporte remunerado de pessoas quando não for licenciado para es","Administrativas/documentais",2
,"6920","Art. 233 c/c 123; inc. III","Deixar de efetuar registro do veculo em 30 dias, quando for alterada qualquer caracterstica do ve","Administrativas/documentais",2
,"6920","Art. 233 c/c 123; inc. II","Deixar de efetuar registro do veculo em 30 dias, quando mudar o municpio de domiclio ou residnci","Administrativas/documentais",2
