law_code,canonical_description,category,total_rows
"Art. 164, c/c Art. 162, Inc. III",Permitir que pessoa com Carteira Nacional de Habilitação de categoria diferente da do veículo tome posse do veículo e passe a conduzi-lo na via.,Administrativas/documentais,45
"Art. 164, c/c Art. 162, Inc. III",Permitir que pessoa tome posse do veículo automotor e passe a conduzi-lo na via com CNH de categoria diferente da do veículo que esteja conduzindo.,Administrativas/documentais,1
"Art. 164, c/c Art. 162, Inc. V",Permitir que pessoa com Carteira Nacional de Habilitação ou Permissão para Dirigir vencida há mais de 30 (trinta) dias tome posse do veículo e passe a conduzi-lo na via.,Administrativas/documentais,183
"Art. 164, c/c Art. 162, Inc. V",Permitir que pessoa tome posse do veículo automotor e passe a conduzi-lo na via com CNH vencida há mais de 30 dias.,Administrativas/documentais,4
"Art. 164, c/c Art. 162, Inc. VI",Permitir que pessoa sem usar lentes corretoras de visão tome posse do veículo e passe a conduzi-lo na via.,Administrativas/documentais,17
Art. 165,Dirigir sob a influência de alcool ou de qualquer substância entorpecente ou que determine dependência física ou psíquica.,Segurança viária,144
Art. 165,Dirigir sob a influência de qualquer outra substância que determine dependencia.,Segurança viária,18
Art. 165,Dirigir sob a influência de qualquer substância psicoativa que determine dependência.,Segurança viária,5
Art. 165,Dirigir sob a influência de álcool.,Segurança viária,364
Art. 165 do CTB,Dirigir sob a influência de álcool.,Segurança viária,1541
Art. 165 do CTB.,Dirigir sob a influência de qualquer substância psicoativa que determine dependência.,Segurança viária,9
Art. 165-A,"Recusar-se a ser submetido a teste, exame clínico, perícia ou outro procedimento que permita certificar influência de álcool ou outra substância psicoativa, na forma estabelecida pelo art. 277.",Segurança viária,593
Art. 166,"Confiar ou entregar a direção de veículo a pessoa que, mesmo habilitada, por seu estado físico ou psíquico, não estiver em condições de dirigi-lo com segurança.",Segurança viária,5
Art. 167,Deixar o condutor ou passageiro de usar o cinto de segurança.,Segurança viária,8166
Art. 167,"Deixar o passageiro de usar o cinto de segurança, conforme o Art. 65, do CTB.",Segurança viária,94540
Art. 169,Dirigir sem ateno ou sem os cuidados indispensveis  Segurana.,Segurança viária,45755
Art. 169,Dirigir sem atenção ou sem os cuidados indispensáveis à segurança.,Segurança viária,18471
Art. 170,"Dirigir ameacando pedestres que estejam atravessando a via publica, ou demais veiculos.",Pedestres,59
Art. 170,Dirigir ameaçando os demais veículos.,Pedestres,800
Art. 170,Dirigir ameaçando os pedestres que estejam atravessando a via pública.,Pedestres,1188
Art. 170 do CTB.,Dirigir ameaçando os demais veículos.,Pedestres,212
Art. 170 do CTB.,Dirigir ameaçando os pedestres que estejam atravessando a via pública.,Pedestres,307
Art. 171,Usar o veículo para arremessar água ou detritos sobre os veículos.,Pedestres,76
Art. 171,"Usar veículo para arremessar, sobre os pedestres ou veículos, água ou detritos.",Pedestres,276
Art. 172,Abandonar na via objetos ou substâncias.,Segurança viária,78
Art. 172,Atirar do veículo objetos ou substâncias.,Segurança viária,1247
Art. 172,Atirar do veículo ou abandonar na via pública objetos ou substâncias.,Segurança viária,33
Art. 173,Disputar corrida.,Segurança viária,18
Art. 173 do CTB,Disputar corrida por espírito de emulação.,Segurança viária,20
Art. 173 do CTB,Disputar corrida.,Segurança viária,11
Art. 174,"Participar na via, como condutor, de competição sem permissão da autoridade de trânsito com circunsc",Segurança viária,2
Art. 174,"Participar na via, como condutor, de eventos organizados sem permissão da autoridade de trânsito com",Segurança viária,1
Art. 174,"Participar na via, como condutor, de exibição e demonstração de perícia em manobra de veículo, sem permissão da autoridade de trânsito com circunscrição sobre a via.",Segurança viária,61
Art. 174,"Participar, na via, como condutor, de exibição e demonstração de perícia em manobra de veículo sem permissão da autoridade de trânsito com circunscrição sobre a via.",Segurança viária,61
