law_code,canonical_description,category,total_rows
"Art. 202, Inc. II do CTB",Ultrapassar outro veículo em interseções.,Segurança viária,6
"Art. 203, Inc. I","Ultrapassar pela contramão outro veículo nas curvas, aclives e declives sem visibilidade suficiente.",Segurança viária,16
"Art. 203, Inc. I do CTB","Ultrapassar pela contramão outro veículo nas curvas, aclives e declives sem visibilidade suficiente.",Segurança viária,3
"Art. 203, Inc. II",Ultrapassar pela contramão outro veículo nas faixas de pedestre.,Pedestres,22
"Art. 203, Inc. II do CTB",Ultrapassar pela contramão outro veículo nas faixas de pedestre.,Pedestres,5
"Art. 203, Inc. III","Ultrapassar pela contramão outro veículo nas pontes, viadutos ou túneis.",Segurança viária,2
"Art. 203, Inc. III",Ultrapassar pela contramão outro veículo nas pontes.,Segurança viária,4
"Art. 203, Inc. III do CTB",Ultrapassar pela contramão outro veículo nas pontes.,Segurança viária,26
"Art. 203, Inc. III do CTB",Ultrapassar pela contramão outro veículo nos viadutos.,Segurança viária,66
"Art. 203, Inc. IV",Ultrapassar pela contramão outro veículo parado em fila junto a cruzamentos.,Segurança viária,31
"Art. 203, Inc. IV",Ultrapassar pela contramão outro veículo parado em fila junto a porteiras ou cancelas.,Segurança viária,4
"Art. 203, Inc. IV",Ultrapassar pela contramão outro veículo parado em fila junto a qualquer outro impedimento à livre circulação.,Segurança viária,25
"Art. 203, Inc. IV","Ultrapassar pela contramão outro veículo parado em fila junto a sinais luminosos, porteiras, cancelas, cruzamentos ou qualquer outro impedimento à livre circulação.",Segurança viária,27
"Art. 203, Inc. IV",Ultrapassar pela contramão outro veículo parado em fila junto a sinais luminosos.,Segurança viária,633
"Art. 203, Inc. IV do CTB",Ultrapassar pela contramão outro veículo parado em fila junto a cruzamentos.,Segurança viária,187
"Art. 203, Inc. IV do CTB",Ultrapassar pela contramão outro veículo parado em fila junto a qualquer outro impedimento à livre circulação.,Segurança viária,57
"Art. 203, Inc. IV do CTB",Ultrapassar pela contramão outro veículo parado em fila junto a sinais luminosos.,Segurança viária,324
"Art. 203, Inc. V",Ultrapassar pela contramão outro veículo onde houver marcação viária longitudinal de divisão de fluxos opostos do tipo linha dupla contínua ou simples contínua amarela.,Segurança viária,905
"Art. 203, Inc. V do CTB",Ultrapassar pela contramão outro veículo onde houver marcação viária longitudinal de divisão de fluxos opostos do tipo linha dupla contínua ou simples contínua amarela.,Segurança viária,570
Art. 204,"Deixar de parar o veículo no acostamento à direita, para aguardar a oportunidade de cruzar pista ou",Segurança viária,5
Art. 205,"Ultrapassar veículo em movimento que integre cortejo, préstito, desfile e formações militares.",Fluidez do trânsito,44
"Art. 206, Inc. I",Executar operação de retorno em locais proibidos pela sinalização.,Segurança viária,12609
"Art. 206, Inc. II","Executar operação de retorno nas curvas, aclives, declives, pontes, viadutos e tuneis.",Segurança viária,6
"Art. 206, Inc. II",Executar operação de retorno nas curvas.,Segurança viária,47
"Art. 206, Inc. II",Executar operação de retorno nas pontes.,Segurança viária,277
"Art. 206, Inc. II",Executar operação de retorno nos aclives ou declives.,Segurança viária,1
"Art. 206, Inc. II",Executar operação de retorno nos túneis.,Segurança viária,4
"Art. 206, Inc. II",Executar operação de retorno nos viadutos.,Segurança viária,8
"Art. 206, Inc. III",Executar operação de retorno passando por cima de ajardinamento.,Pedestres,16
"Art. 206, Inc. III","Executar operação de retorno passando por cima de calcada, passeio, ilhas, ajardinamento ou canteiros de divisões de pista de rolamento, refúgios e faixas de pedestres e nas de veículos não motorizados.",Pedestres,528
"Art. 206, Inc. III","Executar operação de retorno passando por cima de calçada, passeio.",Pedestres,1011
"Art. 206, Inc. III",Executar operação de retorno passando por cima de canteiros de divisões de pista de rolamento.,Pedestres,4216
"Art. 206, Inc. III",Executar operação de retorno passando por cima de faixas de pedestres.,Pedestres,2835
"Art. 206, Inc. III",Executar operação de retorno passando por cima de faixas de veículos não motorizados.,Ciclistas,46
"Art. 206, Inc. III","Executar operação de retorno passando por cima de ilhas, refúgio.",Pedestres,188
"Art. 206, Inc. IV","Executar operação de retorno nas interseções, entrando na contramão de direção da via transversal.",Segurança viária,2332
"Art. 206, Inc. V","AVENIDA CAXANGA, SOB  AO SEMAFORO N.533",Segurança viária,1
"Art. 206, Inc. V","Executar operação de retorno com prejuízo da livre circulação ou da segurança, ainda que em locais permitidos.",Segurança viária,4588
Art. 207,Executar operao de converso  direita em locais proibidos pela sinalizao.,Segurança viária,6591
Art. 207,Executar operao de converso  esquerda em locais proibidos pela sinalizao.,Segurança viária,47490
Art. 207,Executar operação de conversão à direita ou à esquerda em locais proibidos pela sinalização.,Segurança viária,180442
Art. 208,Avançar o sinal de parada obrigatória.,Segurança viária,8017
Art. 208,Avançar o sinal vermelho do semáforo ou de parada obrigatória.,Segurança viária,75303
Art. 208,"Avançar o sinal vermelho do semáforo, exceto onde houver sinalização que permita a livre conversão à direita.",Segurança viária,42115
Art. 208,Avançar o sinal vermelho do semáforo. (fiscalização eletrônica).,Segurança viária,635389
Art. 209,Deixar de adentrar s reas destinadas  pesagem de veculos.,Administrativas/documentais,1
Art. 209,Evadir-se para não efetuar o pagamento do pedágio.,Administrativas/documentais,3
Art. 209,"Transpor, sem autorização,  bloqueio viário com ou sem sinalização ou dispositivos auxiliares.",Administrativas/documentais,2256
Art. 209,"Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às areas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",Administrativas/documentais,50
Art. 210,"Transpor, sem autorização, bloqueio viário policial.",Segurança viária,1412
Art. 211,"Ultrapassar veículos motorizados em fila, parados em razão de bloqueio viário parcial.",Fluidez do trânsito,30
Art. 211,"Ultrapassar veículos motorizados em fila, parados em razão de cancela.",Fluidez do trânsito,13
Art. 211,"Ultrapassar veículos motorizados em fila, parados em razão de qualquer outro obstáculo.",Fluidez do trânsito,45
Art. 211,"Ultrapassar veículos motorizados em fila, parados em razão de sinal luminoso, cancela, bloqueio viário parcial ou qualquer outro obstáculo, com exceção dos veículos não motorizados.",Fluidez do trânsito,32
Art. 211,"Ultrapassar veículos motorizados em fila, parados em razão de sinal luminoso.",Fluidez do trânsito,784
Art. 212,Deixar de parar o veículo antes de transpor linha férrea.,Segurança viária,1
"Art. 213, Inc. I",Deixar de parar sempre que a respectiva marcha for interceptada por agrupamento de pessoas.,Pedestres,10
"Art. 213, Inc. II",Deixar de parar sempre que a marcha for interceptada por agrupamentos de veículos.,Fluidez do trânsito,1
"Art. 214, Inc. I",Deixar de dar preferência de passagem a pedestre ou a veículo não motorizado que se encontre na faixa a ele destinada.,Pedestres,2747
"Art. 214, Inc. II","Deixar de dar preferência de passagem a pedestre ou a veículo não motorizado que não haja concluído a travessia, mesmo que ocorra sinal verde para o veículo.",Pedestres,1210
"Art. 214, Inc. III","Deixar de dar preferência de passagem a pedestre portadores de deficiência física, crianças, idosos e gestantes.",Pedestres,77
"Art. 214, Inc. IV","Deixar de dar preferência de passagem a pedestre ou a veículo não motorizado que tenha iniciado a travessia, mesmo que não haja sinalização a ele destinada.",Pedestres,116
"Art. 214, Inc. V",Deixar de dar preferência de passagem a pedestre ou a veículo não motorizado que esteja atravessando a via transversal para onde se dirige o veículo.,Pedestres,207
"Art. 215, Inc. I, alnea a","Deixar de dar preferência de passagem, em interseção não sinalizada, a veículo que estiver circulando por rodovia ou rotatória.",Segurança viária,5
"Art. 215, Inc. I, alnea b","Deixar de dar preferência de passagem, em interseção não sinalizada, a veículo que vier da direita.",Segurança viária,5
"Art. 215, Inc. I, alneas a e b","Deixar de dar preferncia de passagem, em interseo no sinalizada, a veculo que estiver circulando por rodovia ou rotatria ou a veculo que vier da direita.",,1
"Art. 215, Inc. I, alínea a","Deixar de dar preferência de passagem, em interseção não sinalizada, a veículo que estiver circulando por rodovia ou rotatória.",Segurança viária,28
"Art. 215, Inc. I, alínea b","Deixar de dar preferência de passagem, em interseção não sinalizada, a veículo que vier da direita.",Segurança viária,18
"Art. 215, Inc. II",Deixar de dar preferência de passagem nas interseções com sinalização de regulamentação de “Dê a Preferência”.,Segurança viária,26
Art. 216,Entrar ou sair de áreas lindeiras sem estar adequadamente posicionado para ingresso na via e sem as precauções com a segurança de pedestres e de outros veículos.,Pedestres,1208
Art. 217,Entrar ou sair de fila de veículos estacionados sem dar preferência de passagem a pedestres e a outros veículos.,Pedestres,5
"Art. 218, Inc. I",Transitar em velocidade superior à máxima permitida para o local em até 20% (vinte por cento).,Segurança viária,2519142
"Art. 218, Inc. II",Transitar em velocidade superior à máxima permitida para o local em mais de 20% (vinte por cento) até 50% (cinqüenta por cento).,Segurança viária,339686
"Art. 218, Inc. III",Transitar em velocidade superior  mxima permitida para o local em mais de 50%.,Segurança viária,5664
"Art. 218, Inc. III",Transitar em velocidade superior à máxima permitida para o local em mais de 50%.,Segurança viária,21285
"Art. 218, Inc. Inc",Transitar em velocidade superior à máxima permitida para o local em até 20% (vinte por cento).,,1
Art. 219,"Transitar em velocidade inferior  metade da mxima da via, salvo faixa da direita.",Fluidez do trânsito,4
"Art. 220, Inc. I","Deixar de reduzir a velocidade do veiculo de forma compativel com a seguranca do trânsito quando se aproximar de passeatas, aglomeracões, cortejos, préstitos e desfiles.",Pedestres,29
"Art. 220, Inc. II","Deixar de reduzir a velocidade de forma compatível com a segurança do trânsito nos locais onde o trânsito esteja sendo controlado por agente da autoridade de trânsito, mediante sinais sonoros ou gestos.",Segurança viária,99
"Art. 220, Inc. III",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito ao aproximar-se da guia da calçada(meio-fio).,Segurança viária,1
"Art. 220, Inc. III",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito ao aproximar-se de locais sinalizados com advertência de obras ou trabalhadores na pista.,Segurança viária,3
"Art. 220, Inc. IV",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito ao aproximar-se de locais sinalizados com advertência de obras ou trabalhadores na pista.,Segurança viária,4
"Art. 220, Inc. IV",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito ao aproximar-se de ou passar por interseção não sinalizada.,Segurança viária,13
"Art. 220, Inc. V",Deixar de reduzir velocidade do veículo de forma compatível com a segurança do trânsito nas vias rurais cuja faixa de domínio não esteja cercada.,Segurança viária,1
"Art. 220, Inc. VI",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito nos trechos em curva de pequeno raio.,Segurança viária,6
"Art. 220, Inc. VII",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito ao aproximar-se de locais sinalizados com advertência de obras ou trabalhadores na pista.,Segurança viária,6
"Art. 220, Inc. VII",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito ao aproximar-se de ou passar por interseção não sinalizada.,Segurança viária,8
"Art. 220, Inc. XI",Deixar de reduzir a velocidade do veculo de forma compatvel com a segurana do trnsito  aproxima,Segurança viária,5
"Art. 220, Inc. XI",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito à aproximação de animais na pista.,Segurança viária,6
"Art. 220, Inc. XII",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito em declive.,Segurança viária,1
"Art. 220, Inc. XIII",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito ao ultrapassar ciclista.,Ciclistas,22
"Art. 220, Inc. XIV","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito nas proximidades das escolas, hospitais, estações de embarque e desembarque de passageiros ou onde haja intensa movimentação de pedestres.",Pedestres,24
"Art. 220, Inc. XIV",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito nas proximidades de estações de embarque e desembarque de passageiros.,Pedestres,2
"Art. 220, Inc. XIV",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito nas proximidades de hospitais.,Pedestres,3
"Art. 220, Inc. XIV",Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito onde haja intensa movimentação de pedestres.,Pedestres,77
Art. 221,Portar no veículo placas de identificação em desacordo com as especificações e modelos estabelecidos pelo CONTRAN.,Administrativas/documentais,2427
"Art. 221, pargrafo nico","Confeccionar, distribuir ou colocar, em veículo próprio ou de terceiros, placas de identificação não autorizadas pela regulamentação do CONTRAN.",Administrativas/documentais,2
"Art. 221, parágrafo único","Confeccionar, distribuir ou colocar, em veículo próprio ou de terceiros, placas de identificação não autorizadas pela regulamentação do CONTRAN.",Administrativas/documentais,7
Art. 222,"Deixar de manter ligado, nas situações de atendimento de emergência, o sistema de iluminação intermitente dos veículos de emergência, ainda que parados.",Segurança viária,5
Art. 223,Transitar com o farol desregulado ou com o facho de luz alta de forma a perturbar a visão de outro condutor.,Segurança viária,127
Art. 224,Fazer uso do facho de luz alta dos faróis em vias providas de iluminação pública.,Segurança viária,148
"Art. 225, Inc. I","Deixar de sinalizar a via para tornar visível o local, quando tiver de remover o veículo da pista de rolamento.",Segurança viária,3
"Art. 225, Inc. I","Deixar de sinalizar a via para tornar visível o local, quando tiver que permanecer no acostamento.",Segurança viária,2
"Art. 225, Inc. I","Deixar de sinalizar a via, de forma a prevenir os demais condutores e tornar visível o local, quando tiver de remover o veículo da pista de rolamento ou permanecer no acostamento.",Segurança viária,13
Art. 226,Deixar de retirar todo e qualquer objeto utilizado para sinalização temporária da via.,Fluidez do trânsito,1
"Art. 227, Inc. I",Usar buzina em situação que não a de simples toque breve como advertência ao pedestre ou a condutores de outros veículos.,Outras/não classificadas,1828
"Art. 227, Inc. II",Usar buzina prolongada e sucessivamente a qualquer pretexto.,Outras/não classificadas,4078
"Art. 227, Inc. III",Usar buzina entre as vinte e duas e as seis horas.,Outras/não classificadas,12
"Art. 227, Inc. IV",Usar buzina em locais e horários proibidos pela sinalização.,Outras/não classificadas,41
"Art. 227, Inc. V",Usar buzina em desacordo com os padrões e frequências estabelecidas pelo CONTRAN.,Outras/não classificadas,56
Art. 228,Usar no veículo equipamento com som em volume ou frequência que não sejam autorizados pelo CONTRAN.,Outras/não classificadas,387
Art. 229,"Usar indevidamente no veículo aparelho de alarme ou que produza sons e ruído que perturbem o sossego público, em desacordo com normas fixadas pelo CONTRAN.",Outras/não classificadas,63
Art. 229,"Usar indevidamente no veículo aparelho de alarme que perturbe o sossego público, em desacordo com normas fixadas pelo CONTRAN.",Outras/não classificadas,4
Art. 230 inc. XXIII,Conduzir veículo de transporte de passageiros ou carga em desacordo com as condições estabelecidas no art. 67-C do CTB,Segurança viária,2
"Art. 230, Inc. I",Conduzir o veculo com inscrio do chassi violada ou falsificada.,Administrativas/documentais,2
"Art. 230, Inc. I",Conduzir o veculo com qualquer outro elemento de identificao violado ou falsificado.,Administrativas/documentais,4
"Art. 230, Inc. I","Conduzir o veículo com o lacre, a inscrição do chassi, o selo, a placa ou qualquer outro elemento de identificação do veículo violado ou falsificado.",Administrativas/documentais,2780
"Art. 230, Inc. II",Conduzir o veículo transportando passageiros em compartimento de carga.,Segurança viária,1770
"Art. 230, Inc. III",Conduzir o veículo com dispositivo anti-radar.,Segurança viária,21
"Art. 230, Inc. IV",Conduzir o veículo sem qualquer uma das placas de identificação.,Administrativas/documentais,1175
"Art. 230, Inc. IX",Conduzir o veículo sem equipamento obrigatório ou estando este ineficiente ou inoperante.,Segurança viária,7113
"Art. 230, Inc. V",Conduzir o veículo que não esteja registrado e devidamente licenciado.,Administrativas/documentais,42990
"Art. 230, Inc. V",Conduzir o veículo que não esteja registrado.,Administrativas/documentais,1672
"Art. 230, Inc. VI",Conduzir o veículo com qualquer uma das placas sem condições de legibilidade e visibilidade.,Administrativas/documentais,12847
"Art. 230, Inc. VII",Conduzir o veículo com a cor alterada.,Administrativas/documentais,70
"Art. 230, Inc. VII",Conduzir o veículo com a cor ou característica alterada.,Administrativas/documentais,1351
"Art. 230, Inc. VIII","Conduzir o veículo sem ter sido submetido à inspeção de segurança veicular, quando obrigatória.",Segurança viária,744
"Art. 230, Inc. X",Conduzir o veículo com equipamento obrigatório em desacordo com o estabelecido pelo CONTRAN.,Segurança viária,1048
"Art. 230, Inc. XI","Conduzir o veículo com descarga livre ou silenciador de motor de explosão defeituoso, deficiente ou inoperante.",Outras/não classificadas,583
"Art. 230, Inc. XI",Conduzir o veículo com descarga livre.,Outras/não classificadas,1659
"Art. 230, Inc. XII",Conduzir o veículo com equipamento ou acessório proibido.,Segurança viária,686
"Art. 230, Inc. XIII",Conduzir o veículo com o equipamento do sistema de iluminação e de sinalização alterados.,Segurança viária,536
"Art. 230, Inc. XIV",Conduzir o veículo com registrador instantâneo inalterável de velocidade e tempo viciado ou defeituoso.,Administrativas/documentais,75
"Art. 230, Inc. XIX",Conduzir o veículo sem acionar o limpador de para-brisa sob chuva.,Segurança viária,11
"Art. 230, Inc. XV","Conduzir o veículo com inscrições, adesivos, legendas e símbolos de caráter publicitário afixados no pára-brisa e em toda a extensão da parte traseira do veículo.",Segurança viária,27
"Art. 230, Inc. XV","Conduzir o veículo com inscrições, adesivos, legendas e símbolos de caráter publicitários afixados ou pintados no pára-brisa e em toda a extensão da parte traseira do veículo, excetuadas as hipóteses previstas no Código de Transito Brasileiro.",Segurança viária,8
"Art. 230, Inc. XVI","Conduzir o veículo com vidros parcialmente cobertos por película refletivas ou não, painéis decorativos ou pinturas.",Segurança viária,17
"Art. 230, Inc. XVI","Conduzir o veículo com vidros total ou parcialmente cobertos por películas, painéis/ pintura.",Segurança viária,105
"Art. 230, Inc. XVII","Conduzir o veículo com cortinas ou persianas fechadas, não autorizadas pela legislação.",Segurança viária,1
"Art. 230, Inc. XVIII",Conduzir o veculo reprovado na avaliao de emisso de poluentes e rudo.,Segurança viária,2
"Art. 230, Inc. XVIII",Conduzir o veculo reprovado na avaliao de inspeo de segurana.,Segurança viária,1
"Art. 230, Inc. XVIII","Conduzir o veículo em mau estado de conservação, comprometendo a seguranca, ou reprovado na avaliação de inspeção de segurança e de emissão de poluentes e ruído, previstas no Art.104.",Segurança viária,210
"Art. 230, Inc. XVIII","Conduzir o veículo em mau estado de conservação, comprometendo a segurança.",Segurança viária,4627
"Art. 230, Inc. XVIII",Conduzir o veículo reprovado na avaliação de inspeção de segurança.,Segurança viária,83
"Art. 230, Inc. XX",Conduzir o veículo sem portar a autorização para condução de escolares.,Transporte coletivo,7
"Art. 230, Inc. XXI","Conduzir o veículo de carga, com falta de inscrição da tara e demais inscrições previstas no CTB.",Administrativas/documentais,2
"Art. 230, Inc. XXII","Conduzir o veículo com defeito no sistema de iluminação, de sinalização ou com lâmpadas queimadas.",Segurança viária,2918
"Art. 230, Inc. XXII",Conduzir o veículo com defeito no sistema de iluminação/ lâmpada queimada.,Segurança viária,198
"Art. 230, Inc. XXII",Conduzir o veículo com defeito no sistema de sinalização/ lâmpada queimada.,Segurança viária,30
"Art. 230, Inc. XXII",Conduzir o veículo com lâmpadas queimadas.,Segurança viária,369
"Art. 231, Inc. I","Transitar com o veículo danificando a via, suas instalações e equipamentos.",Segurança viária,33
"Art. 231, Inc. II, alnea a","Transitar com o veculo derramando, lanando ou arrastando sobre a via carga que esteja transportando.",Segurança viária,1
"Art. 231, Inc. II, alnea a",Transitar com o veículo arrastando a carga que esteja transportando.,Segurança viária,18
"Art. 231, Inc. II, alnea a",Transitar com veículo derramando a carga que esteja transportando.,Segurança viária,3
"Art. 231, Inc. II, alnea b",Transitar com o veículo derramando ou lançando sobre a via combustível ou lubrificante que esteja utilizando.,Segurança viária,1
"Art. 231, Inc. II, alnea c","Transitar com o veículo derramando, lançando ou arrastando qualquer objeto que possa acarretar risco de acidente.",Segurança viária,3
"Art. 231, Inc. II, alínea a",Transitar com o veículo arrastando a carga que esteja transportando.,Segurança viária,51
"Art. 231, Inc. II, alínea a","Transitar com o veículo derramando, lançando ou arrastando sobre a via carga que esteja transportando.",Segurança viária,1
"Art. 231, Inc. II, alínea b",Transitar com o veículo derramando ou lançando sobre a via combustível ou lubrificante que esteja utilizando.,Segurança viária,5
"Art. 231, Inc. II, alínea c","Transitar com o veículo derramando, lançando ou arrastando qualquer objeto que possa acarretar risco de acidente.",Segurança viária,26
"Art. 231, Inc. III","Transitar com o veículo produzindo fumaça, gases ou partículas em níveis superiores aos fixados pelo CONTRAN.",Outras/não classificadas,13
"Art. 231, Inc. IV","Transitar com o veículo com suas dimensões ou de sua carga superiores aos limites estabelecidos legalmente ou pela sinalização, sem autorização.",Segurança viária,135
"Art. 231, Inc. IV","Transitar com o veículo e/ou carga com dimensões superiores aos limites estabelecidos legalmente, se",Segurança viária,12
"Art. 231, Inc. IX",Transitar com o veículo desengrenado em declive.,Segurança viária,2
"Art. 231, Inc. V",Transitar com o veículo com excesso de peso.,Segurança viária,1
"Art. 231, Inc. VI","Transitar com a autorização vencida, expedida para veículo com dimensões excedentes.",Administrativas/documentais,1
"Art. 231, Inc. VI",Transitar com o veículo em desacordo com a autorização especial expedida para transitar com dimensões excedentes.,Administrativas/documentais,1
"Art. 231, Inc. VII",Transitar com o veículo com lotação excedente.,Segurança viária,2192
"Art. 231, Inc. VIII","Transitar com o veículo efetuando transporte remunerado de pessoas ou bens, quando não for licenciado para esse fim, salvo casos de forca maior ou com permissão da autoridade competente.",Administrativas/documentais,17
"Art. 231, Inc. VIII","Transitar com o veículo efetuando transporte remunerado de pessoas ou bens, quando não for licenciado para esse fim.",Administrativas/documentais,54
"Art. 231, Inc. X","Transitar com o veículo excedendo a capacidade máxima de tração, entre 601 e 1.000 kg.",Segurança viária,2
Art. 232,Conduzir veículo sem os documentos de porte obrigatório referidos no CTB.,Administrativas/documentais,8736
Art. 233,"Deixar de efetuar o registro de veículo no prazo de trinta dias, junto ao órgão executivo de trânsito.",Administrativas/documentais,21
"Art. 233 c/c 123, inc. II","Deixar de efetuar o registro do veículo no prazo de 30 dias, quando mudar o município de domicílio ou residência.",Administrativas/documentais,9
"Art. 233 c/c 123, inc. III","Deixar de efetuar o registro do veículo no prazo de 30 dias, quando for alterada qualquer característica do veículo.",Administrativas/documentais,3
Art. 234,Falsificar ou adulterar documento de habilitao.,Administrativas/documentais,1
Art. 234,Falsificar ou adulterar documento de identificação do veículo.,Administrativas/documentais,3
Art. 235,Conduzir carga nas partes externas do veículo.,Segurança viária,60
Art. 235,Conduzir pessoas nas partes externas do veículo.,Segurança viária,164
Art. 235,"Conduzir pessoas, animais ou carga nas partes externas do veículo, salvo nos casos devidamente autorizados.",Segurança viária,10
Art. 236,Rebocar outro veículo com cabo flexível ou corda.,Segurança viária,142
Art. 237,Transitar com o veículo com falta de inscrição necessárias à sua identificação.,Administrativas/documentais,1
Art. 237,Transitar com o veículo em desacordo com as especificações necessárias à sua identificação.,Administrativas/documentais,3
Art. 237,"Transitar com o veículo em desacordo com as especificações, e com falta de inscrição e simbologia necessarias à sua identificação, quando exigidas pela legislação.",Administrativas/documentais,2
Art. 238,"Recusar-se a entregar  autoridade de trnsito ou a seus agentes, mediante recibo, os documentos de",Administrativas/documentais,75
Art. 238,"Recusar-se a entregar à autoridade de trânsito ou a seus agentes, mediante recibo, os documentos de habilitação, de registro, de licenciamento de veículo e outros exigidos por lei, para averiguação de sua autenticidade.",Administrativas/documentais,1614
Art. 239,"Retirar do local veículo legalmente retido para regularização, sem permissão da autoridade competente ou de seus agentes.",Administrativas/documentais,668
Art. 241,Deixar de atualizar o cadastro de registro do veículo ou de habilitação do condutor.,Administrativas/documentais,6
Art. 241,Deixar de atualizar o cadastro de registro do veículo.,Administrativas/documentais,19
Art. 242,Fazer falsa declaração de domicílio para fins de habilitação.,Administrativas/documentais,1
Art. 243,Deixar a empresa seguradora de comunicar ao órgão executivo de trânsito competente a ocorrência de perda total do veículo e de lhe devolver as respectivas placas e documentos.,Administrativas/documentais,3
Art. 244 inciso VIII,Conduzir motoc/moton/transportando carga em desacordo c/  2 do artigo 139 - a CTB,Segurança viária,5
Art. 244 inciso VIII,"Conduzir motocicleta, motoneta ou ciclomotor transportando carga em desacordo com o § 2º do art. 139-A do CTB.",Segurança viária,5
"Art. 244,  1, alnea a",Conduzir ciclo transportando passageiro fora da garupa ou do assento especial a ele destinado.,Ciclistas,4
"Art. 244,  1, alnea c",Conduzir ciclo transportando crianças sem condições de cuidar de sua própria segurança.,Ciclistas,3
"Art. 244, Inc. I","Conduzir motocicleta, motoneta e ciclomotor com capacete de segurança sem viseira ou óculos de proteção.",Segurança viária,16513
"Art. 244, Inc. I","Conduzir motocicleta, motoneta e ciclomotor sem usar capacete de segurança com viseira ou óculos de proteção e vestuário de acordo com as normas e especificações aprovadas pelo CONTRAN.",Segurança viária,2065
"Art. 244, Inc. I","Conduzir motocicleta, motoneta e ciclomotor sem usar capacete de segurança.",Segurança viária,20598
"Art. 244, Inc. I","Conduzir motocicleta, motoneta e ciclomotor sem vestuário aprovado pelo CONTRAN.",Segurança viária,132
"Art. 244, Inc. I","Conduzir motocicleta, motoneta e ciclomotor sem vestuário de acordo com as normas e as especificaçõe",Segurança viária,1
"Art. 244, Inc. II","Conduzir motocicleta, motoneta e ciclomotor transportando passageiro sem o capacete de segurança com viseira ou óculos de proteção, ou fora do assento suplementar colocado atrás do condutor ou em carro lateral.",Segurança viária,454
"Art. 244, Inc. II","Conduzir motocicleta, motoneta e ciclomotor transportando passageiro sem viseira ou óculos de proteção.",Segurança viária,1385
"Art. 244, Inc. II","Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro fora do assento suplementar colocado atrás do condutor ou em carro lateral.",Segurança viária,72
"Art. 244, Inc. II","Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro sem capacete de segurança.",Segurança viária,12856
"Art. 244, Inc. III","Conduzir motocicleta, motoneta, ciclomotor e ciclo fazendo malabarismo ou equilibrando-se apenas em uma roda.",Segurança viária,14
"Art. 244, Inc. III","Conduzir motocicleta, motoneta, ciclomotor fazendo malabarismo ou equilibrando-se em uma roda.",Segurança viária,439
"Art. 244, Inc. III, c/c 1",Conduzir ciclo fazendo malabarismo ou equilibrando-se em uma roda.,Segurança viária,5
"Art. 244, Inc. III, c/c §1º",Conduzir ciclo fazendo malabarismo ou equilibrando-se em uma roda.,Segurança viária,49
"Art. 244, Inc. IV","Conduzir motocicleta, motoneta e ciclomotor com faróis apagados.",Segurança viária,2952
"Art. 244, Inc. V","Conduzir motocicleta, motoneta e ciclomotor transportando crianca menor de 7 anos ou que não tenha, nas circunstâncias, condições de cuidar de sua própria segurança.",Segurança viária,12
"Art. 244, Inc. V","Conduzir motocicleta, motoneta e ciclomotor transportando criança sem condições de cuidar de sua própria segurança.",Segurança viária,90
"Art. 244, Inc. V","Conduzir motocicleta, motoneta ou ciclomotor transportando criança menor de 10 (dez) anos.",Segurança viária,161
"Art. 244, Inc. VI","Conduzir motocicleta, motoneta e ciclomotor rebocando outro veículo.",Segurança viária,36
"Art. 244, Inc. VII","Conduzir motocicleta, motoneta, ciclomotor e ciclo sem segurar o guidom com ambas as mãos, salvo eventualmente para indicação de manobras.",Segurança viária,5
"Art. 244, Inc. VII","Conduzir motocicleta, motoneta, ciclomotor sem segurar o guidom com ambas as mãos.",Segurança viária,450
"Art. 244, Inc. VIII","Conduzir motocicleta, motoneta, ciclomotor  e ciclo transportando carga incompatível com suas especificações.",Segurança viária,75
"Art. 244, Inc. VIII,  c/c §1º",Conduzir ciclo transportando carga incompatível com suas especificações.,Segurança viária,7
"Art. 244, X","Conduzir motocicleta, motoneta ou ciclomotor com viseira ou óculos de proteção em desacordo com a regulamentação do CONTRAN.",Segurança viária,10771
"Art. 244, XI","Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro com capacete de segurança com viseira ou óculos de proteção em desacordo com a regulamentação do CONTRAN.",Segurança viária,517
"Art. 244, § 1º, alínea a",Conduzir ciclo transportando passageiro fora da garupa ou do assento especial a ele destinado.,Ciclistas,19
