_id	semafororo	localizacao1	localizacao2	bairro	latitude	longitude	tipo	funcionamento
36	375	Av. Abdias de Carvalho	Av. do Forte	Cordeiro	-8.062545	-34.932194	E/Git	Veic.C/Ped.
37	426	Rua Cosme Viana	Rua Doutor Adelino	Afogados	-8.075838	-34.909021	E/Git	Veicular
38	438	Av. Boa Viagem	Próximo à Rua Verdes Mares	Boa Viagem	-8.135429	-34.901386	E/Git	Ocasional/Ped.
39	445	Av. Boa Viagem	Rua Zael Diógenes	Boa Viagem	-8.139063	-34.902598	E/Git	Veic.C/Ped.Paral.
40	483	Av. Boa Viagem	Rua Vicente Gomes	Boa Viagem	-8.133277	-34.900494	E/Git	Veic.C/Ped.Paral.
41	538	Av. Antônio de Góis	Rua José Mariano Filho	Pina	-8.087182	-34.884907	E/Git	Veic.C/Ped.Paral.
42	547	Av. Boa Viagem	Rua Félix de Brito	Boa Viagem	-8.118568	-34.894059	E/Git	Veic.C/Ped.Paral.
43	548	Av.Boa Viagem	Rua Padre Bernardino Pessoa	Boa Viagem	-8.115285	-34.89221	E/Git	Veic.C/Ped.Paral.
44	555	Av. Boa Viagem	Rua Antônio Falcão	Boa Viagem	-8.116989	-34.893167	E/Git	Ocasional/Ped.
45	652	Av. Mário Álvares Pereirade Lyra	Rua Mauricéa	Iputinga	-8.046996	-34.940548	E/Git	Veic.C/Ped.
46	663	Av. Boa Viagem	Rua Henrique Capitulino	Boa Viagem	-8.110297	-34.88929	E/Git	Veic.C/Ped.Paral.
47	667	Av. General Mac Arthur	Sob a Estação do Metrô Antônio Falcão	Imbiribeira	-8.109476	-34.909099	E/Git	Ocasional/Ped.
