id,data.age,data.job,data.gender,data.season,data.system,data.frequency,data.schooling,data.collisions,data.color_race,data.days_usage.total,data.days_usage.school,data.days_usage.leisure,data.days_usage.working,data.days_usage.shopping,data.years_using,data.age_category,data.age_standard,data.biggest_need,data.biggest_issue,data.distance_time,data.time_category,data.time_original,data.wage_standard,data.covid19_impact,data.frequency_what,data.income_original,data.pandemic_impact,data.theft_occurrence,data.transport_quality,data.household_quantity,data.combination_quality,data.motivation_to_start,data.neighborhood_living,data.neighborhood_origin,data.combination_category,data.neighborhood_destiny,data.harassment_occurrence,data.transport_combination.yes_no,data.transport_combination.transportation,data.motivation_to_continue,metadata.id,metadata.area,metadata.city,metadata.date,metadata.hour,metadata.street,metadata.weekday,metadata.location.type,metadata.location.coordinates,metadata.schedule,metadata.bike_type,metadata.sheet_index,metadata.survey_year,metadata.neighborhood,metadata.original_date,metadata.researcher_code,metadata.datetime_original,metadata.questionnaire_number,coordinates,created_at,updated_at
6361,60,,Feminino,0,Não,,Ensino Superior (Faculdade),Não,Preta,7,0,1,0,1,entre 2 e 5 anos,de 55 a 64 anos,acima de 5 Salários Mínimos,É ambientalmente correto,,20,mais de 10 até 20 minutos,Entre 4 e 5 anos,7000,,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)",acima de 5 salários mínimos,,Sim,NA,0,Sem resposta,,,,,,Sim,false,,É ambientalmente correto,1876,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Governador Agamenon Magalhães x Praça do Derby,terça-feira,Point,"-8.05664,-34.89807",,Privada,1876,2024,,17/09/2024,30786,2024-09-17T22:01:48Z,372,0101000020E610000065C22FF5F37241C0774A07EBFF1C20C0,2026-07-22T03:36:48.324Z,2026-07-22T03:36:48.324Z
6362,23,,Feminino,0,Sim,,Ensino Médio (Segundo Grau),Não,Branca,3,0,2,3,1,mais de 5 anos,de 15 a 24 anos,de 2 a 5 Salários Mínimos,É mais rápido e prático,,10,até 10 minutos,Mais de 5 anos,3500,,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)",de 2 a 5 salários mínimos,,Não,NA,0,Ônibus/metrô ou trem?,,,,,,Sim,true,Sim,É mais rápido e prático,1877,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Governador Agamenon Magalhães x Praça do Derby,terça-feira,Point,"-8.05664,-34.89807",,Pública,1877,2024,,17/09/2024,30786,2024-09-17T22:04:20Z,373,0101000020E610000065C22FF5F37241C0774A07EBFF1C20C0,2026-07-22T03:36:48.327Z,2026-07-22T03:36:48.327Z
6363,44,,Masculino,0,Sim,,Ensino Médio (Segundo Grau),Não,Branca,6,0,7,6,2,mais de 5 anos,de 35 a 44 anos,de 1 a 2 Salários Mínimos,É mais rápido e prático,,40,mais de 30 minutos até 1 hora,Mais de 5 anos,2000,,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)",de 1 a 2 salários mínimos,,Sim,Transporte coletivo,0,Sem resposta,,,,,,Não,false,,É mais rápido e prático,1878,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Governador Agamenon Magalhães x Praça do Derby,quarta-feira,Point,"-8.05664,-34.89807",,Privada,1878,2024,,18/09/2024,30786,2024-09-18T10:43:47Z,374,0101000020E610000065C22FF5F37241C0774A07EBFF1C20C0,2026-07-22T03:36:48.330Z,2026-07-22T03:36:48.330Z
6364,31,,Masculino,2,Não,,Ensino Superior (Faculdade),Não,Preta,5,0,2,5,5,entre 2 e 5 anos,de 25 a 34 anos,de 2 a 5 Salários Mínimos,É mais saudável,,15,mais de 10 até 20 minutos,Entre 4 e 5 anos,3500,,Mais arborização/sobreamento,de 2 a 5 salários mínimos,,Sim,Transporte coletivo,0,Sem resposta,,,,,,Sim,false,,É mais saudável,1880,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Governador Agamenon Magalhães x Praça do Derby,quarta-feira,Point,"-8.05664,-34.89807",,Privada,1880,2024,,18/09/2024,30786,2024-09-18T10:47:51Z,376,0101000020E610000065C22FF5F37241C0774A07EBFF1C20C0,2026-07-22T03:36:48.333Z,2026-07-22T03:36:48.333Z
6365,41,,Masculino,0,Sim,,"Ensino Fundamental (primário e ginásio, até a oitava série)",Não,Parda,5,0,2,5,2,menos de 6 meses,de 35 a 44 anos,até 1 Salário Mínimo,É mais saudável,,20,mais de 10 até 20 minutos,Menos de 6 meses,1400,,Mais segurança pública,até 1 salário mínimo,,Sim,NA,0,Sem resposta,,,,,,Não,false,,É mais saudável,1881,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Governador Agamenon Magalhães x Praça do Derby,quarta-feira,Point,"-8.05664,-34.89807",,Privada,1881,2024,,18/09/2024,30786,2024-09-18T10:50:09Z,377,0101000020E610000065C22FF5F37241C0774A07EBFF1C20C0,2026-07-22T03:36:48.336Z,2026-07-22T03:36:48.336Z
6366,44,,Masculino,0,Sim,,"Ensino Fundamental (primário e ginásio, até a oitava série)",Não,Parda,6,0,1,6,2,mais de 5 anos,de 35 a 44 anos,acima de 5 Salários Mínimos,É mais rápido e prático,,30,mais de 20 até 30 minutos,Mais de 5 anos,7000,,Mais arborização/sobreamento,acima de 5 salários mínimos,,Sim,Transporte coletivo,0,Sem resposta,,,,,,Sim,false,,É mais rápido e prático,1882,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Governador Agamenon Magalhães x Praça do Derby,quarta-feira,Point,"-8.05664,-34.89807",,Privada,1882,2024,,18/09/2024,30786,2024-09-18T10:52:38Z,378,0101000020E610000065C22FF5F37241C0774A07EBFF1C20C0,2026-07-22T03:36:48.339Z,2026-07-22T03:36:48.339Z
6367,48,,Masculino,0,Não,,"Ensino Fundamental (primário e ginásio, até a oitava série)",Não,Parda,6,0,0,6,0,entre 2 e 5 anos,de 45 a 54 anos,de 2 a 5 Salários Mínimos,É mais rápido e prático,,30,mais de 20 até 30 minutos,Entre 2 e 3 anos,3500,,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)",de 2 a 5 salários mínimos,,Sim,Transporte coletivo,0,Sem resposta,,,,,,Sim,false,,É mais rápido e prático,1883,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Governador Agamenon Magalhães x Praça do Derby,quarta-feira,Point,"-8.05664,-34.89807",,Privada,1883,2024,,18/09/2024,30786,2024-09-18T11:07:23Z,379,0101000020E610000065C22FF5F37241C0774A07EBFF1C20C0,2026-07-22T03:36:48.342Z,2026-07-22T03:36:48.342Z
6368,34,,Masculino,0,Não,,Ensino Superior (Faculdade),Não,Preta,7,0,1,6,3,mais de 5 anos,de 25 a 34 anos,de 1 a 2 Salários Mínimos,É mais saudável,,30,mais de 20 até 30 minutos,Mais de 5 anos,2000,,Mais segurança pública,de 1 a 2 salários mínimos,,Sim,Sem resposta,0,Sem resposta,,,,,,Sim,false,,É mais saudável,1884,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Governador Agamenon Magalhães x Praça do Derby,quarta-feira,Point,"-8.05664,-34.89807",,Privada,1884,2024,,17/09/2024,30786,2024-09-18T11:13:20Z,380,0101000020E610000065C22FF5F37241C0774A07EBFF1C20C0,2026-07-22T03:36:48.345Z,2026-07-22T03:36:48.345Z
6369,49,,Masculino,0,Não,,Ensino Médio (Segundo Grau),Não,Preta,7,0,0,6,2,mais de 5 anos,de 45 a 54 anos,até 1 Salário Mínimo,É mais barato,,20,mais de 10 até 20 minutos,Mais de 5 anos,1400,,Mais segurança/educação no trânsito,até 1 salário mínimo,,Não,Sem resposta,0,Sem resposta,,,,,,Não,false,,É mais barato,1885,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Governador Agamenon Magalhães x Praça do Derby,quarta-feira,Point,"-8.05664,-34.89807",,Privada,1885,2024,,19/09/2024,30786,2024-09-18T11:16:15Z,381,0101000020E610000065C22FF5F37241C0774A07EBFF1C20C0,2026-07-22T03:36:48.348Z,2026-07-22T03:36:48.348Z
6370,32,,Masculino,0,Sim,,Ensino Superior (Faculdade),Sim,Branca,7,2,3,0,1,mais de 5 anos,de 25 a 34 anos,de 2 a 5 Salários Mínimos,É mais saudável,,90,mais de 1 hora,Mais de 5 anos,3500,,"Mais e melhores infraestruturas adequadas (ciclovias, bicicletários, sinalização etc.)",de 2 a 5 salários mínimos,,Sim,Transporte coletivo,0,Sem resposta,,,,,,Não,false,,É mais saudável,1886,Área 1 - Área Central,Recife,2024-01-01T03:00:00.000Z,1899-12-30T17:00:00.000Z,Avenida Governador Agamenon Magalhães x Praça do Derby,quarta-feira,Point,"-8.05664,-34.89807",,Privada,1886,2024,,18/09/2024,30786,2024-09-18T11:18:45Z,382,0101000020E610000065C22FF5F37241C0774A07EBFF1C20C0,2026-07-22T03:36:48.351Z,2026-07-22T03:36:48.351Z
