Cruzamento,Av. Pres. Kennedy x Av. Antonio da Costa Azevedo
Data,09/04/2026
Coordenadas Geográficas,"-8.01313, -34.8724"
Relatório,https://docs.google.com/document/d/11ARalKuxEBVWrmMkQ96-ADaZw-s3eBUS/edit
Total,3968
Máximo em um hora,504
Mulher,"7,8%"
Crianças e adolescentes,"2,3%"
Capacete,"1,8%"
Caronas,"4,4%"
Cargueiras,"23,4%"
Serviço,"4,1%"
Contramão,"18,2%"
Calçada,"5,3%"
