Cruzamento,Av. Dr. José Rufino X R. José Natário
Data,25/03/2026
Coordenadas Geográficas,"-8.09169, -34.93606"
Relatório,https://docs.google.com/document/d/1P2O6DMpGUdh91gvvYp3uFKSigJhdZxLp/edit
Total,1808
Máximo em um hora,226
Mulher,"5,6%"
Crianças e adolescentes,"3,0%"
Capacete,"5,5%"
Caronas,"2,7%"
Cargueiras,"15,1%"
Serviço,"9,2%"
Contramão,"5,8%"
Calçada,"10,0%"
