Cruzamento,Av. Rui Barbosa x Av. Dr. Malaquias
Data,11/03/2026
Coordenadas Geográficas,"-8.03989, -34.90401"
Relatório,"""link"""
Total,853
Máximo em um hora,123
Mulher,"8,8%"
Crianças e adolescentes,"4,6%"
Capacete,"13,1%"
Caronas,"1,5%"
Cargueiras,"3,2%"
Serviço,"5,3%"
Contramão,"8,3%"
Calçada,"29,2%"
