Cruzamento,PE 007 x Pte. Santa Maria | Moreno
Data,23/04/2026
Coordenadas Geográficas,"-8.118822, -35.105819"
Relatório,https://docs.google.com/document/d/1nmoyLpWY9WhsnHmuqgvXHwiNWogSWSPuOkiEVTfbv_c/edit?tab=t.0
Total,586
Máximo em um hora,69
Mulher,"2,4%"
Crianças e adolescentes,"20,0%"
Capacete,"2,4%"
Caronas,"2,0%"
Cargueiras,"8,5%"
Serviço,"0,0%"
Contramão,"3,9%"
Calçada,"21,2%"
