Cruzamento,Rua Padre Machado x Rua Hermenegildo Lima | Itamaracá
Data,30/04/2026
Coordenadas Geográficas,"-7.74776,-34.82463"
Relatório,https://docs.google.com/document/d/14wAFwgarTQR5R0nB2BXV4BpA7GXoTF1Rf6t03nKSPMU/edit?tab=t.0
Total,1631
Máximo em um hora,176
Mulher,"17,7%"
Crianças e adolescentes,"9,2%"
Capacete,"0,3%"
Caronas,"2,5%"
Cargueiras,"23,5%"
Serviço,"0,6%"
Contramão,"5,5%"
Calçada,"6,5%"
