Cruzamento,Rua Frei Serafim x Rua João Pessoa | Itapissuma
Data,29/04/2026
Coordenadas Geográficas,"-7.77325, -34.89559"
Relatório,https://docs.google.com/document/d/1ydDP0PHKbPowKMRsTirtoCXl59jEjKszMTyfDifexuo/edit?tab=t.0
Total,1516
Máximo em um hora,161
Mulher,"12,7%"
Crianças e adolescentes,"12,2%"
Capacete,"1,1%"
Caronas,"2,9%"
Cargueiras,"12,6%"
Serviço,"3,7%"
Contramão,"25,7%"
Calçada,"0,1%"
