Cruzamento,Av. Cons. Rosa e Silva x Av. Dr. Malaquias
Data,11/03/2026
Coordenadas Geográficas,"-8.03812, -34.90057"
Relatório,"""link"""
Total,448
Máximo em um hora,129
Mulher,"5,8%"
Crianças e adolescentes,"1,1%"
Capacete,"8,7%"
Caronas,"1,6%"
Cargueiras,"7,1%"
Serviço,"25,0%"
Contramão,"10,5%"
Calçada,"23,9%"
