Cruzamento,Av. Gov. Agamenon Magalhães x Praça do Derby - Pista Leste
Data,16/05/2024
Coordenadas Geográficas,"-8.05661, -34.89772"
Relatório,https://docs.google.com/document/d/1BZJUktFWwg41ilPXeb55opLide8Hn3ww/edit?usp=drive_link&ouid=106119240800332821299&rtpof=true&sd=true
Total,2013
Máximo em um hora,311
Mulher,"7,7%"
Crianças e adolescentes,"0,7%"
Capacete,"9,4%"
Caronas,"1,7%"
Cargueiras,"5,7%"
Serviço,"3,0%"
Contramão,"5,6%"
Calçada,"8,4%"
