type,geometry.type,geometry.coordinates,properties.id,properties.status_type,properties.status_value,properties.length,properties.city_id,properties.osm_id,properties.name,properties.pdc_typology,properties.cycleway_typology
Feature,LineString,"-34.88071,-7.77358,-34.8806,-7.77348,-34.88055,-7.77342,-34.88051,-7.77335,-34.88048,-7.77321,-34.88047,-7.77311,-34.88044,-7.77274,-34.88043,-7.77249,-34.8804,-7.77211,-34.88032,-7.77191",13,pdc_nao_realizado,0.19629588764294584,0.19629588764294584,2607604,way/561835033,PE-035,Ciclovia,none
Feature,LineString,"-34.87984,-7.77133,-34.87958,-7.77109,-34.87901,-7.77056,-34.87849,-7.77013",14,pdc_nao_realizado,0.20009316255524318,0.20009316255524318,2607604,way/561838233,PE-035,Ciclovia,none
Feature,LineString,"-34.88005,-7.77153,-34.87998,-7.77146,-34.87984,-7.77133",15,pdc_nao_realizado,0.031855327122454674,0.031855327122454674,2607604,way/561838234,PE-035,Ciclovia,none
Feature,LineString,"-34.86835,-7.76918,-34.86741,-7.7692",16,pdc_nao_realizado,0.1035400561463156,0.1035400561463156,2607604,way/561841585,PE-035,Ciclovia,none
Feature,LineString,"-34.86857,-7.76919,-34.86835,-7.76918",17,pdc_nao_realizado,0.024394562300116916,0.024394562300116916,2607604,way/561841586,PE-035,Ciclovia,none
Feature,LineString,"-34.86741,-7.7692,-34.86701,-7.7692,-34.86668,-7.76918,-34.86656,-7.76915,-34.86646,-7.76911,-34.8662,-7.76894,-34.86528,-7.76816",18,pdc_nao_realizado,0.2739112398505849,0.2739112398505849,2607604,way/561841587,PE-035,Ciclovia,none
Feature,LineString,"-34.86181,-7.76537,-34.8617,-7.76525,-34.86142,-7.76493",19,pdc_nao_realizado,0.06484904940294016,0.06484904940294016,2607604,way/561841590,PE-035,Ciclovia,none
Feature,LineString,"-34.86375,-7.76699,-34.86316,-7.76655",20,pdc_nao_realizado,0.08111821871400951,0.08111821871400951,2607604,way/561841591,PE-035,Ciclovia,none
Feature,LineString,"-34.86316,-7.76655,-34.86307,-7.76648,-34.86298,-7.76641,-34.86227,-7.76586,-34.86181,-7.76537",21,pdc_nao_realizado,0.19885651981003188,0.19885651981003188,2607604,way/561841595,PE-035,Ciclovia,none
Feature,LineString,"-34.86528,-7.76816,-34.86484,-7.76783,-34.86447,-7.76757,-34.86432,-7.76745,-34.864,-7.76719,-34.86375,-7.76699",22,pdc_nao_realizado,0.21346522216037309,0.21346522216037309,2607604,way/561841596,PE-035,Ciclovia,none
Feature,LineString,"-34.85936,-7.76453,-34.85916,-7.76453,-34.85896,-7.76453,-34.8588,-7.76452",23,pdc_nao_realizado,0.06190391974867436,0.06190391974867436,2607604,way/561841597,PE-035,Ciclovia,none
Feature,LineString,"-34.86142,-7.76493,-34.86122,-7.76481,-34.86103,-7.76475,-34.86028,-7.76466,-34.85947,-7.76454,-34.85936,-7.76453",24,pdc_nao_realizado,0.23389513471804615,0.23389513471804615,2607604,way/561841598,PE-035,Ciclovia,none
Feature,LineString,"-34.8588,-7.76452,-34.85858,-7.76461",25,pdc_nao_realizado,0.02650796919424343,0.02650796919424343,2607604,way/561841611,PE-035,Ciclovia,none
Feature,LineString,"-34.87223,-7.76861,-34.87181,-7.76871,-34.87057,-7.76902,-34.87052,-7.76903,-34.8703,-7.76908,-34.87016,-7.76911,-34.86981,-7.76916,-34.86965,-7.76917",26,pdc_nao_realizado,0.291427820395486,0.291427820395486,2607604,way/561841612,PE-035,Ciclovia,none
Feature,LineString,"-34.88086,-7.77362,-34.88071,-7.77358",27,pdc_nao_realizado,0.017682244405458538,0.017682244405458538,2607604,way/562518663,PE-035,Ciclovia,none
Feature,LineString,"-34.88032,-7.77191,-34.88027,-7.77181,-34.88018,-7.77169,-34.88012,-7.77161,-34.88005,-7.77153",28,pdc_nao_realizado,0.0513314628342079,0.0513314628342079,2607604,way/570558224,PE-035,Ciclovia,none
Feature,LineString,"-34.87849,-7.77013,-34.87819,-7.76999,-34.8776,-7.76989,-34.87733,-7.76984",29,pdc_nao_realizado,0.13272519824220974,0.13272519824220974,2607604,way/570558234,PE-035,Ciclovia,none
Feature,LineString,"-34.87733,-7.76984,-34.87702,-7.76972",30,pdc_nao_realizado,0.03670901267216604,0.03670901267216604,2607604,way/570558241,PE-035,Ciclovia,none
