street_code,street_name,total_violations,extension_km,violations_per_km,by_year.2007,by_year.2008,by_year.2009,by_year.2010,by_year.2011,by_year.2012,by_year.2013,by_year.2014,by_year.2015,by_year.2016,by_year.2017,by_year.2018,by_year.2019,by_year.2020,by_year.2021,by_year.2022,by_year.2023,by_year.2024,by_year.2025,top_violation.description,top_violation.percentage
54232,Avenida Saturnino de Brito,29035,0.43,67188.29,994,1589,2406,1329,679,576,1417,1019,1120,613,624,2892,2343,4308,3806,1959,728,175,458,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",95
6564,Cais do Apolo,28064,2.21,12689.34,1819,764,440,1510,1818,1003,1395,1499,964,418,1365,4059,2608,1991,1829,961,1125,1732,764,Dirigir o veículo segurando ou manuseando telefone celular.,28.77
64530,Rua Vidal de Negreiros,27281,0.44,61944.38,931,776,702,868,766,1040,839,1554,1829,1914,1526,2022,2909,2306,1804,1624,1913,1457,501,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,63.63
8222,Estrada do Arraial,24958,2.9,8615.52,346,331,384,635,538,1736,1153,777,1281,1482,1451,2794,4960,2467,1911,877,745,671,419,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,26.44
52663,Rua Primeiro de Março,24790,0.12,211339.65,71,79,274,178,320,387,365,324,1556,3631,4756,4854,4729,1751,1175,290,45,2,3,Transitar em locais e horários não permitidos pela regulamentação estabelecida pela autoridade competente — para todos os tipos de veículos.,93.01
53775,Avenida General San Martin,24590,3.12,7891.54,366,338,695,635,571,419,658,397,352,257,1758,4095,3473,3088,2801,1366,2618,359,344,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",20.68
29335,Rua do Hospício,23598,1.73,13678.75,1016,833,605,1059,1236,1399,849,794,1343,1193,1137,1918,3576,2891,1404,968,635,487,255,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,28.88
63517,Rua Siqueira Campos,22828,0.21,106196.81,424,450,970,672,1220,1320,1351,2630,3608,2138,2179,2478,1498,353,280,273,313,352,319,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,63.68
35190,Rua José de Alencar,22512,1.02,22138.61,97,262,337,612,496,421,417,1237,2542,2112,2694,2598,2292,1270,1923,1484,758,702,258,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,68.45
57398,Rua Ribeiro de Brito,21655,1.46,14868.09,106,86,230,156,142,335,1247,719,1237,850,3148,2533,2777,4428,1789,1228,433,162,49,Dirigir o veículo segurando ou manuseando telefone celular.,32.78
49727,Rua Jornalista Paulo Bittencourt,20203,0.28,72423.15,2,8,114,138,382,298,492,995,542,654,2485,1987,1665,2477,2177,1801,1905,1636,445,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,64.46
48500,Rua Paissandú,19988,1.05,19118.09,1010,2074,1580,890,973,563,795,931,484,623,731,819,956,1181,1205,1947,1303,1491,432,Dirigir o veículo utilizando-se de fones nos ouvidos conectados a aparelhagem sonora ou de telefone celular.,18.62
33405,Avenida João de Barros,19777,2.56,7726.29,346,390,287,419,692,736,1147,706,2018,1270,1539,1755,2365,2585,1128,816,870,572,136,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,15.08
57266,Rua do Riachuelo,19736,1.15,17150.6,356,495,488,373,472,663,660,950,1484,1264,1673,1730,2216,2452,1449,1058,1234,608,111,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,55.52
75183,Travessa do Forte,19335,0.11,177064.65,549,447,445,348,541,451,603,764,1495,1380,1051,1168,1887,1277,1343,1872,1941,1371,402,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,46.61
38482,Rua Padre Lemos,19259,0.85,22695.81,183,121,161,189,206,334,1568,550,758,1092,1048,2480,3017,3143,2050,695,446,768,450,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,53.65
41459,Avenida Manoel Borba,19083,0.99,19219.52,507,417,428,363,492,433,566,643,1019,1253,1487,1892,2552,2240,1962,940,960,762,167,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,30.62
34720,Rua Joaquim Nabuco,18909,0.82,23009.17,493,591,555,482,677,871,838,625,369,714,1623,1294,1642,3314,1405,1632,1365,333,86,Dirigir o veículo segurando ou manuseando telefone celular.,30.57
30341,Rua Padre Inglês,18505,0.47,39495.59,3,7,7,11,24,13,108,339,272,175,2543,2823,3884,2646,2031,1975,665,766,213,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,68.04
49310,Rua Paris,18014,0.7,25721.85,,,1,2,2,4,9,1,1,1,13,3763,1584,1288,3163,3826,760,1247,2349,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",86.38
45810,Rua dos Navegantes,17598,2.89,6083.71,112,259,250,152,970,1332,2485,1582,542,357,477,2256,2992,1448,652,489,541,416,286,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,36.99
17671,Rua Corredor do Bispo,17408,0.23,76457.04,257,272,191,123,252,512,860,2291,1947,2237,1384,1505,1329,1074,1024,992,808,318,32,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,45.72
29238,Rua da Hora,17280,1.02,16999.72,323,190,370,388,601,1470,1090,668,587,844,2052,2089,2474,2188,1219,404,200,101,22,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,75.94
62952,Estrada Velha de Água Fria,17233,1.75,9833.68,74,64,80,116,148,133,282,197,247,330,497,947,1436,1130,290,6571,3456,1073,162,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,48.18
23566,Rua Falcão de Lacerda,16936,1.05,16197.83,5,24,22,32,29,14,37,27,17,10,56,5391,302,2022,485,1635,2350,3014,1464,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,58.1
66230,Praca General Carlos Pinto,16722,0.19,89858.83,7,4,107,231,296,68,304,378,344,283,1989,1683,4131,1710,934,1206,1699,600,748,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,50.5
56260,Rua Barão de Souza Leão,16372,1.75,9366.42,176,230,192,275,247,225,538,737,760,1396,2224,3087,2627,1128,1009,494,394,440,193,Estacionar o veículo no passeio.,53.8
19380,Cais da Detenção,16270,0.22,74992.74,237,203,367,447,621,869,628,4871,2988,1015,858,381,288,505,460,674,641,190,27,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,49.73
34703,Rua General Joaquim Inácio,16243,0.76,21428.86,109,207,131,290,377,381,485,496,476,1945,1811,1409,1857,1890,1800,966,877,583,153,Dirigir o veículo segurando ou manuseando telefone celular.,16.83
12165,Rua Dom Bosco,16046,1.06,15133.44,547,444,768,358,784,908,1105,929,314,627,1564,992,1327,1032,545,1473,1554,658,117,Dirigir o veículo segurando ou manuseando telefone celular.,18.62
29025,Rua Marquês do Herval,15725,0.24,65135.54,400,299,330,329,369,497,344,513,987,1000,1136,1367,1536,1312,1162,1400,1351,1062,331,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,73.84
35270,Avenida Professor José dos Anjos,15656,8.14,1922.38,83,79,111,137,292,203,394,340,914,5284,868,733,2898,702,422,536,587,837,236,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",32.25
22780,Rua Estado de Israel,15330,0.42,36478.55,15,7,61,145,170,280,329,725,1116,1277,844,568,674,2212,2356,1429,1462,1371,289,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,42.46
28711,Rua Henrique Dias,14837,0.59,25029.71,472,527,307,191,582,750,314,648,379,395,521,1056,867,2652,1890,943,1368,844,131,Avançar o sinal vermelho do semáforo.,31.55
36420,Rua José Osório,14791,1.12,13152.5,128,98,91,138,351,722,1076,971,1055,881,427,1270,3325,2035,1776,281,104,43,19,Dirigir o veículo segurando ou manuseando telefone celular.,18.09
59382,Avenida Conselheiro Rosa e Silva,14262,2.24,6355.98,525,588,416,660,1247,1484,746,290,289,357,439,1263,1368,2722,631,349,418,348,122,Dirigir o veículo utilizando-se de fones nos ouvidos conectados a aparelhagem sonora ou de telefone celular.,20.89
9814,Rua Cônego Barata,14240,1.13,12645.55,119,90,84,111,252,354,313,141,143,102,195,1911,3362,2165,1883,839,1273,637,266,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",69.71
10596,Avenida Beira Rio,14203,1.69,8414.29,140,74,48,81,236,354,448,214,948,5081,316,1507,2267,1335,463,243,177,259,12,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",26.08
14702,Rua Padre Carapuceiro,14169,1.1,12930.83,77,67,174,109,535,1135,563,156,493,460,235,440,1014,1111,2704,3228,862,588,218,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,40.11
9652,Rua da Baixa Verde,13755,0.24,58042.24,5,4,6,24,18,11,7,11,11,14,101,50,545,2553,2884,2106,2549,2275,581,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,91.04
56278,Rua Frei Matias Tévis,13621,0.49,27988.93,27,32,69,54,48,36,228,181,1029,637,459,315,534,2453,2069,1543,1686,1725,496,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,52.13
7013,Rua do Aragão,13324,0.16,82429.08,580,497,432,286,391,543,400,543,958,692,773,1017,1154,1071,1038,868,1126,838,117,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,77.53
16390,Avenida Prefeito Antônio Pereira,13098,3.91,3349.99,,,,,3,,100,65,130,79,1031,2122,2844,1365,897,516,1249,1836,861,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,60.26
8753,Rua Madre Deus,12909,0.14,93861.01,457,353,503,1043,510,773,321,522,760,959,1207,1681,1224,709,548,392,497,374,76,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,24.82
32921,Rua Jean Emile Favre,12732,1.82,6983.07,166,128,206,219,159,307,233,544,698,488,899,805,1002,1290,1419,972,2834,152,211,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,23.74
566,Rua do Acre,12632,0.25,50779.7,202,65,127,228,142,67,91,127,205,115,446,1334,1437,1519,1137,460,1034,2478,1418,Estacionar o veículo impedindo a movimentação de outro veículo.,41.22
25798,Rua das Fronteiras,12447,0.33,37634.55,11,20,40,58,105,291,856,1692,807,783,1352,1137,636,606,647,348,815,1793,450,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,52.76
43206,Rua Mariz e Barros,12278,0.35,35199.39,244,152,199,206,486,928,528,1169,1168,1311,949,933,1129,710,511,565,685,316,89,Estacionar o veículo em desacordo com as condições regulamentadas - vaga de carga/descarga.,34.36
116610,Rua Aurora,12142,0.23,53763.87,291,279,362,354,649,601,713,413,1016,542,1102,789,1026,1775,468,396,551,708,107,Dirigir o veículo segurando ou manuseando telefone celular.,11.99
30104,Rua Imperial,12082,2.11,5736.38,159,160,205,226,419,343,506,825,673,1087,842,1165,1825,1436,996,565,307,251,92,Dirigir o veículo segurando ou manuseando telefone celular.,23
3638,Rua Álvares Cabral,12049,0.21,56901.16,349,231,155,195,329,614,357,402,637,440,1018,1107,1229,1037,748,986,1294,858,63,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,70.04
7005,Avenida Liberdade,12024,0.24,50103.36,1,,3,11,4,15,49,12,4,1,31,2103,624,1218,1386,2022,2246,1954,340,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,46.05
41483,Rua Manoel de Brito,11990,0.81,14793.16,6,2,1,4,10,73,139,6,69,144,1454,1320,3156,1894,565,549,1118,1158,322,Dirigir o veículo segurando ou manuseando telefone celular.,36.09
35467,Rua José Bonifácio,11923,1.89,6304.69,1898,2203,1911,861,835,707,92,59,188,30,72,999,1751,126,68,50,35,26,12,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,41.7
32735,Rua do Jardim,11713,0.14,82458.38,554,669,393,509,480,626,589,770,1144,1214,541,664,751,619,496,536,543,479,136,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,57.03
24864,Rua Floriano Peixoto,11709,0.86,13652.33,100,137,232,236,454,572,617,725,1045,809,663,862,2464,1153,1005,349,165,97,24,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,33.45
67075,Praça Dom Vital,11598,0.49,23465.77,703,762,756,567,533,1155,626,548,622,651,333,519,461,757,690,720,600,375,220,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,34.38
116882,Rua São João,11522,0.21,54445.49,52,45,78,91,136,147,111,160,639,993,962,1052,1976,1117,1079,930,955,775,224,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,61.18
46256,Rua Dr Nylo Dornellas Câmara,11487,0.18,64222.02,,12,26,73,16,120,178,903,470,262,1782,2961,2740,936,542,276,55,71,64,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,30.27
26689,Rua do Giriquiti,11461,0.23,50067.84,222,196,266,212,260,609,626,683,861,1728,1359,1067,1116,610,413,369,416,382,66,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,38.82
28010,Avenida Guararapes,11437,0.69,16516.57,84,250,536,387,606,786,613,434,854,709,1253,1609,1835,790,210,183,155,134,9,Transitar em locais e horários não permitidos pela regulamentação estabelecida pela autoridade competente — para todos os tipos de veículos.,51.31
52221,Rua Conselheiro Portela,11360,0.74,15408,312,310,160,282,989,437,823,272,264,328,833,797,1815,2561,515,230,193,178,61,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,29.36
32956,Rua Jener de Souza,11089,1.09,10179.42,277,145,268,118,145,71,60,1010,238,758,765,1864,2283,1580,514,282,247,436,28,Executar operação de conversão à direita ou à esquerda em locais proibidos pela sinalização.,51.95
17221,Rua da Conceição,10885,0.24,45536.82,423,338,408,345,409,458,367,362,590,501,532,769,1079,1054,1048,819,744,560,79,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,70.14
61093,Rua Tobias Barreto,10840,0.43,25372.89,372,300,376,358,330,363,304,391,698,950,1001,951,628,911,762,772,695,478,200,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,59.82
13439,Rua das Calçadas,10740,0.36,29850.28,315,499,590,649,630,862,604,406,729,975,651,608,630,700,663,433,373,315,108,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,26.42
54275,Rua da Saudade,10680,0.76,14136.4,485,417,384,328,489,633,451,365,892,683,626,770,944,686,402,548,1085,448,44,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,64.59
10910,Rua Benfica,10655,1.81,5882.39,113,1198,522,90,395,355,208,74,117,101,128,1598,920,1887,1430,1249,136,103,31,"Transitar com o veículo na faixa ou via de trânsito exclusivo, regulamentada com circulação destinada aos veículos de transporte público coletivo de passageiros, salvo casos de força maior e com autorização do poder público competente.",27.87
24996,Rua do Forte,10622,0.13,79623.53,683,709,418,562,361,742,467,508,693,568,430,443,838,660,511,592,630,661,146,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,44.15
34045,Avenida Professor João Medeiros,10611,1.23,8599.12,26,15,81,90,10,42,247,461,269,729,2116,440,745,65,136,2003,2866,131,139,Executar operação de conversão à direita ou à esquerda em locais proibidos pela sinalização.,32
49468,Rua Passo da Pátria,10501,0.38,27314.23,213,187,168,153,171,303,237,221,806,890,900,1043,1396,979,647,627,831,569,160,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,64.55
15024,Avenida Governador Carlos de Lima Cavalcanti,10478,0.54,19524.61,649,708,463,249,353,276,869,742,560,631,1023,1231,1448,460,252,194,183,150,37,Dirigir o veículo segurando ou manuseando telefone celular.,15.68
11584,Rua do Sol,10398,0.1,107672.82,369,536,764,612,508,302,269,221,326,253,739,961,1624,643,343,206,586,853,283,Dirigir o veículo utilizando-se de fones nos ouvidos conectados a aparelhagem sonora ou de telefone celular.,12.35
45390,Rua Padre Muniz,10356,0.28,36797.13,401,373,278,268,159,339,133,92,137,224,121,282,1255,1487,1340,1512,1183,607,165,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,84.38
56880,Rua Marquês do Recife,10343,0.21,48554.7,314,340,390,310,298,443,258,277,487,641,608,804,998,744,715,994,810,681,231,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,68.74
107247,Rua Futuro,10081,0.11,92757.2,67,160,187,180,317,563,746,911,584,1035,775,963,1406,619,736,191,224,173,244,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,35.4
49352,Avenida Parnamirim,9890,0.44,22575.85,94,63,88,158,168,268,515,467,916,1073,705,542,1520,2569,304,258,89,74,19,Dirigir o veículo segurando ou manuseando telefone celular.,23.31
60500,Rua Vigário Tenório,9790,0.33,29989.03,286,190,238,220,232,431,277,502,815,724,612,888,998,935,609,575,691,508,59,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,57.43
66877,Praça da República,9747,0.98,9978.67,120,139,248,271,407,830,497,620,875,816,843,973,1264,324,177,239,509,463,132,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,31.69
66672,Praça Miguel de Cervantes,9747,0.57,17238.46,33,6,32,142,7,21,6,729,1012,1020,1311,1276,762,166,104,298,1011,1489,322,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,65.85
110922,Rua das Flores,9718,0.07,136946.17,36,88,181,726,1185,613,833,975,1385,1127,792,571,276,172,176,185,142,206,49,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,83
36196,Rua Doutor José Maria,9667,1.33,7259.88,97,32,24,47,692,431,202,277,185,186,339,929,866,1971,477,1314,939,576,83,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,60.04
9032,Rua São Miguel,9569,0.12,81572.55,1209,2019,1168,1068,1100,500,871,246,130,268,216,83,152,124,136,96,83,88,12,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,55.55
20613,Rua Sete de Setembro,9455,0.05,205596.86,683,590,640,469,697,720,422,359,905,630,445,306,286,597,481,330,527,309,59,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,43.66
3204,Rua Alto José Bonifácio,9421,1.32,7148.92,163,89,93,164,153,103,530,251,411,225,288,434,719,862,1450,469,330,2115,572,"Transitar com o veículo na faixa ou via de trânsito exclusivo, regulamentada com circulação destinada aos veículos de transporte público coletivo de passageiros, salvo casos de força maior e com autorização do poder público competente.",36.94
2348,Rua Alfândega,9418,0.08,114772.29,587,374,348,299,938,983,420,500,733,462,720,711,764,438,209,126,414,365,27,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,41.55
112488,Travessa Vasco da Gama,9235,0.08,120186.39,96,38,29,112,105,105,458,294,594,368,308,1179,1672,2096,826,406,226,237,86,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,52.01
31135,Rua Barão de Itamaracá,9165,0.56,16336.22,41,40,68,82,62,72,122,242,515,563,1150,1220,1613,1354,1079,591,243,74,34,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,78.79
117714,Rua Treze de Março,9143,0.09,100617.11,35,36,18,23,34,37,78,43,1410,2477,2353,1045,1052,264,158,34,36,6,4,Transitar em locais e horários não permitidos pela regulamentação estabelecida pela autoridade competente — para todos os tipos de veículos.,91.04
61336,Rua Jornalista Trajano Chacon,8855,0.48,18536.95,,2,14,52,26,107,210,209,262,116,232,426,545,2035,1598,856,1147,877,141,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,66.62
24228,Avenida Fernando Simões Barbosa,8782,1.15,7637.08,1621,1209,686,796,297,62,78,644,271,177,289,344,737,350,315,323,451,97,35,Executar operação de conversão à direita ou à esquerda em locais proibidos pela sinalização.,32.83
77488,Rua Professor Aloisio Pessoa de Araujo,8738,0.12,73622.07,,,,,,,9,216,975,567,729,1005,1430,733,779,726,820,538,211,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,91.3
75396,Cais Santa Rita,8718,3.32,2625.07,337,427,344,398,545,412,275,368,157,85,265,252,477,2191,1264,245,293,298,85,Executar operação de retorno em locais proibidos pela sinalização.,33.47
46663,Rua Nova Descoberta,8628,2.43,3556.19,197,196,51,123,97,112,518,226,553,701,707,1197,1414,1087,561,203,381,142,162,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,38.33
75329,Travessa Afonso Olindense,8439,0.07,115466.41,150,222,467,426,197,105,306,199,333,318,252,707,1104,1353,1162,508,249,249,132,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",38.54
43621,Avenida Sport Clube do Recife,8372,0.96,8720.11,1504,1392,904,379,609,521,375,146,88,89,139,881,218,666,200,84,87,52,38,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,32.74
6572,Rua do Apolo,8342,0.27,30698.38,392,248,141,113,210,330,316,465,678,622,588,799,908,697,361,421,626,364,63,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,55.85
56650,Rua do Rangel,8273,0.23,36576.91,359,290,206,142,222,272,252,423,455,513,446,715,891,484,583,557,606,608,249,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,70.53
47074,Rua do Observatório,8087,0.14,57218.48,467,206,164,139,385,567,377,705,577,538,716,914,719,265,233,283,420,343,69,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,36.81
50849,Rua das Pernambucanas,8057,0.54,15057.03,666,437,323,451,320,796,361,268,287,1008,1136,626,711,110,122,73,143,181,38,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,38.28
53805,Rua da Santa Cruz,7704,0.21,36297.99,35,36,29,51,47,262,183,275,278,223,555,1123,970,322,189,139,86,22,2879,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,47.98
46620,Rua Benfica,7591,0.19,38994.77,538,416,306,227,263,575,369,176,141,179,900,1563,775,357,379,129,154,128,16,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,13.7
94340,Travessa São Miguel,7516,0.03,249860.05,240,204,190,268,218,185,1062,481,433,483,981,393,410,881,573,199,161,125,29,Estacionar o veículo no passeio.,17.63
75566,Rua Doutor Moacir Baracho,7460,0.06,120695.07,17,,605,691,701,894,638,917,972,313,405,247,261,164,120,161,202,113,39,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,58.04
21385,Estrada do Encanamento,7430,1.73,4300.27,241,156,91,112,75,637,259,423,551,766,1417,257,514,692,586,190,186,237,40,Dirigir o veículo segurando ou manuseando telefone celular.,19.45
1880,Avenida Visconde de Albuquerque,7388,0.98,7576.89,106,538,304,111,225,273,166,168,216,286,480,898,721,1079,1147,384,158,90,38,Estacionar o veículo no passeio.,27.41
9784,Rua Dr Bandeira Filho,7362,0.2,36706.19,671,701,711,421,527,567,642,1068,448,107,325,211,288,433,119,35,51,26,11,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,33.33
67512,Ponte Conde Maurício de Nassau,7355,0.22,33060.2,1511,1301,2073,1074,521,3,11,53,23,124,158,105,179,66,58,23,32,31,9,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",76.06
33359,Rua Dr João Asfora,7270,0.25,29487.35,20,31,21,45,32,3,32,74,85,272,1249,833,1178,1051,851,552,550,311,80,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,76.53
52833,Rua Quarenta e Oito,7228,1.22,5928.94,148,91,166,156,273,150,234,161,304,225,879,539,1065,2213,277,104,115,93,35,Dirigir o veículo segurando ou manuseando telefone celular.,29.94
35971,Avenida José Gonçalves de Medeiros,7206,0.47,15314.49,84,41,52,46,108,194,89,59,31,25,381,1355,2375,2122,129,20,47,33,15,Avançar o sinal vermelho do semáforo.,45.67
26816,Rua Barão de Goiana,7063,0.2,36205.15,22,4,3,7,6,1,12,59,8,8,167,285,770,1217,1169,929,1092,1023,281,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,81.58
34797,Avenida Joaquim Ribeiro,6949,3.83,1812.41,5,11,17,28,13,17,21,14,56,20,86,330,479,1963,1355,1515,694,282,43,Dirigir o veículo segurando ou manuseando telefone celular.,29.75
23744,Rua Feliciano Gomes,6909,0.22,30865.94,4,7,1,32,40,9,7,12,14,29,122,61,339,1516,1283,1014,1170,947,302,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,91.45
73237,Rua Amélia,6883,0.98,7047.55,140,121,246,132,140,181,196,134,92,123,261,246,759,1782,228,820,253,241,788,Dirigir o veículo segurando ou manuseando telefone celular.,16.8
66575,Praça Joaquim Nabuco,6866,0.28,24862.92,4,8,31,99,163,147,185,322,635,591,350,456,708,1733,855,311,145,99,24,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,53.9
56073,Rua da Soledade,6857,0.47,14702.92,101,430,359,483,443,827,411,150,237,199,197,194,810,859,496,440,90,90,41,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,19.61
36005,Rua Senador José Henrique,6857,0.33,20541.41,,2,1,5,26,6,42,55,64,51,62,88,331,2177,1639,1000,686,490,132,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,83.55
45870,Travessa Mascarenhas de Moraes,6786,0.05,131770.06,1114,1426,1580,731,868,601,173,132,82,22,25,22,1,1,2,2,,1,3,Dirigir o veículo utilizando-se de fones nos ouvidos conectados a aparelhagem sonora ou de telefone celular.,37.22
101508,Rua da Paz,6741,0.2,32939.39,136,143,135,244,298,177,343,326,329,376,919,790,708,923,593,103,81,90,27,Estacionar o veículo no passeio.,39.56
33758,Rua João Fernandes Vieira,6694,0.98,6853.93,90,94,133,235,273,369,284,261,171,270,469,299,496,349,226,600,1188,605,282,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,30.61
28215,Rua da Guia,6658,0.26,25197.48,315,374,147,124,361,664,453,595,671,464,473,415,500,396,211,128,184,157,26,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,37.47
17043,Rua dos Coelhos,6653,0.53,12644.76,156,113,198,134,134,77,115,181,296,209,263,1280,822,1051,733,354,326,155,56,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,24.14
35092,Rua Jorge Couceiro da Costa Eiras,6577,0.91,7226.59,,1,141,195,134,140,196,267,371,290,435,463,840,769,809,845,425,177,79,Estacionar o veículo no passeio.,86.59
