street_code,street_name,total_violations,extension_km,violations_per_km,by_year.2007,by_year.2008,by_year.2009,by_year.2010,by_year.2011,by_year.2012,by_year.2013,by_year.2014,by_year.2015,by_year.2016,by_year.2017,by_year.2018,by_year.2019,by_year.2020,by_year.2021,by_year.2022,by_year.2023,by_year.2024,by_year.2025,top_violation.description,top_violation.percentage
14982,Rua Carlos Gomes,2762,1.54,1789.32,48,50,203,97,30,475,266,185,383,128,99,105,106,196,151,70,75,73,22,"Transitar com o veículo na faixa ou pista da direita, regulamentada como de circulação exclusiva para determinado tipo de veículo, exceto para acesso a imóveis lindeiros ou conversões à direita.",14.48
66176,Praça das Cinco Pontas,2694,0.37,7304.65,73,126,144,327,131,114,85,164,253,242,100,166,330,138,140,81,52,21,7,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,36.64
86789,Rua Ministro Albuquerque Lima,2577,0.15,17464.05,15,17,73,19,19,7,18,,9,,,544,1063,122,,,93,198,380,"Transitar com o veículo na faixa ou via de trânsito exclusivo, regulamentada com circulação destinada aos veículos de transporte público coletivo de passageiros, salvo casos de força maior e com autorização do poder público competente.",92.98
27138,Rua Gonçalves Maia,2512,0.26,9499.44,374,343,228,242,237,83,105,142,83,62,149,162,129,50,39,40,22,20,2,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,34.99
7900,Rua Vitória,2496,0.09,26332.78,131,500,366,120,154,112,103,120,160,107,81,98,137,91,92,38,39,42,5,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,40.06
36153,Rua Capitão José da Luz,2425,0.31,7849.87,12,12,22,65,61,10,54,32,347,20,35,154,122,50,47,37,360,764,221,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,45.61
119008,1ª Travessa João Cabral de Melo Neto,2342,0.2,11511.99,45,13,19,29,70,433,873,192,52,34,28,32,40,46,82,105,74,170,5,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",50.38
15466,Rua dos Casados,2333,0.57,4086.1,,,1,3,,,37,6,1,,8,,80,57,634,876,337,276,17,Estacionar o veículo em desacordo com as condições regulamentadas - estacionamento rotativo.,89.41
85251,Rua General Christóvam Colombo de Souza,2312,0.09,24751.41,,,,,,,,,,,14,116,376,1335,348,27,18,52,26,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,85.29
12785,Rua Bulhões Marques,2255,0.16,14250.45,247,83,155,253,102,23,217,148,258,139,257,161,78,71,22,7,18,16,,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,73.66
67326,Ponte Duarte Coelho,2137,0.3,7014.29,16,30,159,325,236,113,99,533,19,18,46,147,114,170,15,26,37,33,1,Avançar o sinal vermelho do semáforo - fiscalização eletrônica.,51.66
119202,Travessa Pernambuco,2116,0.24,8929,3,5,48,33,78,38,51,58,47,34,40,39,38,72,44,271,57,947,213,Dirigir o veículo usando calçado que não se firme nos pés ou que comprometa a utilização dos pedais.,35.68
56863,Rua Capitão Rebelinho,1933,0.79,2444.47,1,17,9,8,227,496,210,284,74,56,75,97,115,43,62,52,46,25,36,Estacionar o veículo em locais e horários proibidos especificamente pela sinalização (placa — Proibido Estacionar).,49.92
9016,Rua Professor Augusto Wanderley Filho,1559,0.25,6345.71,31,14,14,9,41,36,33,36,27,14,21,15,20,82,95,132,200,396,343,Conduzir o veículo que não esteja registrado e devidamente licenciado.,40.22
86983,Rua Walmir Moraes,1115,0.1,10700.46,129,42,69,288,81,135,280,34,30,27,,,,,,,,,,Dirigir o veículo utilizando-se de fones nos ouvidos conectados a aparelhagem sonora ou de telefone celular.,30.85
39950,Avenida Luiz de Lacerda,1021,0.39,2600.6,,,,10,,,,2,2,18,4,10,35,28,16,24,129,622,121,Conduzir o veículo que não esteja registrado e devidamente licenciado.,33.99
167,Rua Abdias Cabral de Moura,970,0.51,1895.22,2,1,,,2,2,,12,21,5,13,49,19,32,20,116,90,139,447,Transitar pela contramão de direção em vias com sinalização de regulamentação de sentido único de circulação.,89.69
36749,Rua Oito de Março,942,0.12,7943.64,191,266,69,57,82,140,69,36,28,1,1,,2,,,,,,,Transitar em locais e horários não permitidos pela regulamentação estabelecida pela autoridade competente — para todos os tipos de veículos.,89.38
86312,Rua Água Santa,740,0.23,3282.31,,,,1,,3,734,2,,,,,,,,,,,,"Transitar em velocidade superior à máxima permitida para o local, medida por instrumento ou equipamento hábil — quando a velocidade for superior à máxima em até 20% (vinte por cento).",87.57
8885,Rua Augusto Calheiros,488,0.12,4059.99,289,13,15,25,14,9,16,29,2,14,9,9,11,5,5,6,8,6,3,Avançar o sinal de parada obrigatória.,53.28
