id,name,capacity,covered,access,operator,bicycle_parking
209,,50,yes,private,,
210,,,,yes,,
211,,,yes,yes,CCR Metrô Bahia,
212,,8,no,,,stands
213,,9,no,,,
214,,,,,,
215,,14,no,yes,,
216,,,,,,
217,,,,,,
218,,,,,,
219,Bicicletário Estação Mauá,1968,yes,customers,ASCOBIKE,building
220,,,yes,yes,SME,building
221,Bicicletário Estação Autódromo,261,yes,yes,Via Mobilidade,building
222,,,no,,,
223,Estacionamento de Bicicleta,18,,,,
224,Estacionamento de Bicicleta,20,,,,
225,,50,yes,yes,Grupo Big,stands
226,,,yes,yes,,lockers
227,,100,yes,,,wall_loops
228,Estacionamento de Bicicleta,18,,,,
229,,9,,,,
230,,20,,private,,shed
231,,15,no,,Shopping Tijuca,
232,,1000,no,private,,stands
233,,,,customers,,shed
234,,50,,customers,Condaominio Amizade,shed
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,250,yes,yes,ViaQuatro,
247,,12,,,,
248,Bicicletário Terminal São Miguel,64,yes,yes,Socicam,shed
249,,,no,yes,,stands
250,,,,yes,,
251,Bicicletário Estação Comendador Ermelino,196,no,yes,CPTM,building
252,Bicicletário Estação São Miguel Paulista,208,yes,yes,CPTM,building
253,Bicicletário Estação Jardim Helena - Vila Mara,256,yes,yes,CPTM,building
254,Bicicletário Estação Itaim Paulista,256,yes,yes,CPTM,building
255,Bicicletário Estação Jardim Romano,240,yes,yes,CPTM,building
256,Bicicletário Estação Engenheiro Goulart (Norte),200,yes,yes,CPTM,building
257,Bicicletário Estação Engenheiro Goulart (Sul),74,yes,yes,CPTM,building
258,Bicicletário Estação Guarulhos CECAP,192,yes,yes,CPTM,building
259,Bicicletário Estação Aeroporto Guarulhos,100,yes,yes,CPTM,building
260,Bicicletário Estação Ferraz de Vasconcelos,136,yes,yes,CPTM,building
261,Bicicletário Estação Poá,60,yes,yes,CPTM,building
262,Bicicletário Estação Calmon Viana,84,yes,yes,CPTM,building
263,Bicicletário Estação Tamanduateí,164,yes,yes,CPTM,building
264,Bicicletário Estação Jurubatuba,262,yes,yes,CPTM,building
265,Bicicletário Estação Vila Olímpia,94,yes,yes,CPTM,building
266,Bicicletário Estação Cidade Universitária,60,yes,yes,CPTM,building
267,Bicicletário Estação Villa Lobos - Jaguaré,233,yes,yes,CPTM,building
268,Bicicletário Estação Ceasa,144,yes,yes,CPTM,building
269,Bicicletário Estação Osasco,166,yes,yes,CPTM,building
270,Bicicletário Estação Carapicuíba,145,yes,yes,CPTM,building
271,Bicicletário Estação Jardim Belval,117,yes,yes,CPTM,building
272,Bicicletário Estação Jardim Silveira,279,yes,yes,CPTM,building
273,Bicicletário Estação Jandira,279,yes,yes,CPTM,building
274,Bicicletário Estação Engenheiro Cardoso,160,yes,yes,CPTM,building
275,Bicicletário Estação Itapevi,480,yes,yes,CPTM,shed
276,Bicicletário Estação Vila Aurora,144,yes,yes,CPTM,building
277,Bicicletário Estação Caieiras,67,yes,yes,CPTM,building
278,Bicicletário Terminal Metropolitano São Bernardo do Campo,68,yes,yes,EMTU,building
279,Bicicletário Estação/Terminal Jabaquara,68,,yes,EMTU,building
280,Bicicletário Estação/Terminal Itaquera,55,yes,yes,Metrô,building
281,Bicicletário Estação Carrão,110,yes,yes,Metrô,building
282,Bicicletário Estação Sé,20,yes,yes,Metrô,building
283,Bicicletário Largo da Batata (Estação Faria Lima),100,yes,yes,Tembici,building
284,,,,,,
285,,,,,,
286,,850,yes,yes,Prefeitura Municipal de Niterói,covered
287,,16,yes,yes,BikePoint Floripa,lockers
288,Bicicletário Estação Pinheiros,117,yes,yes,ViaQuatro,building
289,Bicicletário Estação Morumbi,80,yes,yes,ViaQuatro,building
290,Bicicletário Estação Hospital São Paulo,30,yes,private,ViaMobilidade,building
291,Bicicletário Estação AACD Servidor,36,yes,yes,ViaMobilidade,building
292,Bicicletário Estação Moema,68,yes,yes,ViaMobilidade,building
293,Bicicletário Estação Eucaliptos,92,yes,yes,ViaMobilidade,building
294,Bicicletário Estação Brooklin,30,yes,yes,ViaMobilidade,building
295,Bicicletário Estação Borba Gato,84,yes,yes,ViaMobilidade,building
296,Bicicletário Estação Alto da Boa Vista,126,yes,yes,ViaMobilidade,building
297,Bicicletário Terminal Parelheiros,15,yes,yes,Socicam,
298,Bicicletário Terminal Grajaú,50,yes,yes,Socicam,shed
299,Bicicletário Terminal Jardim Ângela,12,no,yes,Socicam,shed
300,Bicicletário Terminal Capelinha,106,yes,yes,Socicam,shed
301,Bicicletário Terminal João Dias,72,yes,yes,Socicam,shed
302,Bicicletário Terminal Santo Amaro,10,yes,yes,Socicam,shed
303,Bicicletário Terminal Jardim Britânia,12,yes,yes,Socicam,stands
409,,,,,,
304,Bicicletário Terminal Lapa,74,yes,yes,Socicam,shed
