tema,servico,endpoint,parametros,arquivo,formato,numero_registros,status,observacao
bicicletarios,bicycle-racks,/v1/bicycle-racks/geojson,{},bicicletarios/geojson.json,GeoJSON,5598,completo,GeoJSON com 5598 features
sinistros_fatais,traffic-deaths,/v1/causas-secundarias,{},sinistros_fatais/causas_secundarias.json,JSON,308998,completo,
bike_pe,shared-bike,/v1/stations,{},bike_pe/stations.csv,CSV,69,completo,
bike_pe,shared-bike,/v1/stations,{},bike_pe/stations.json,JSON,69,completo,
bicicletarios,bicycle-racks,/v1/bicycle-racks,{},bicicletarios/all.csv,CSV,5598,completo,
bicicletarios,bicycle-racks,/v1/bicycle-racks,{},bicicletarios/all.json,JSON,5598,completo,
bicicletarios,bicycle-racks,/v1/bicycle-racks/stats,{},bicicletarios/stats.json,JSON,5598,completo,
ciclodados,ciclodados,/v1/streets/search,{"q":"Boa Viagem","limit":"10"},ciclodados/streets_search_Boa_Viagem.json,JSON,1,completo,
execucao_cicloviaria,cycling-infra,/v1/infrastructure/city-coverage,{},execucao_cicloviaria/city_coverage.json,JSON,1,completo,
execucao_cicloviaria,cycling-infra,/v1/ways,{},execucao_cicloviaria/ways.csv,CSV,4488,completo,
execucao_cicloviaria,cycling-infra,/v1/ways,{},execucao_cicloviaria/ways.json,JSON,4488,completo,
execucao_cicloviaria,cycling-infra,/v1/infrastructure/cycleways,{},execucao_cicloviaria/cycleways.json,GeoJSON,5436,completo,GeoJSON com 5436 features
infracoes,traffic-tickets,/v1/law-stats,{"law":"Art. 253-A"},infracoes/law_stats_art253a.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls,limit=1000, offset pagination,chamados_emergencia/calls_consolidated.json,JSON (paginated consolidated),99171,completo,Total API: 99171. Exportado: 99171
infracoes,traffic-tickets,/v1/streets,limit=100, page pagination,infracoes/streets_consolidated.json,JSON (paginated consolidated),10147,completo,Total API: 10147. Exportado: 10147
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=JABOATAO DOS GUARARAPES,chamados_emergencia/outcomes_JABOATAO_DOS_GUARARAPES.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=JABOATAO DOS GUARARAPES,chamados_emergencia/profiles_JABOATAO_DOS_GUARARAPES.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=OLINDA,chamados_emergencia/outcomes_OLINDA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=OLINDA,chamados_emergencia/profiles_OLINDA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=PAULISTA,chamados_emergencia/outcomes_PAULISTA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=PAULISTA,chamados_emergencia/profiles_PAULISTA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CABO DE SANTO AGOSTINHO,chamados_emergencia/outcomes_CABO_DE_SANTO_AGOSTINHO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CABO DE SANTO AGOSTINHO,chamados_emergencia/profiles_CABO_DE_SANTO_AGOSTINHO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=VITORIA DE SANTO ANTAO,chamados_emergencia/outcomes_VITORIA_DE_SANTO_ANTAO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=VITORIA DE SANTO ANTAO,chamados_emergencia/profiles_VITORIA_DE_SANTO_ANTAO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CAMARAGIBE,chamados_emergencia/outcomes_CAMARAGIBE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CAMARAGIBE,chamados_emergencia/profiles_CAMARAGIBE.json,JSON,1,completo,
