_id	mes	equipamento	faixa	data	hora	minutos_intervalo	qtd_0a10km	qtd_11a20km	qtd_21a30km	qtd_31a40km	qtd_41a50km	qtd_51a60km	qtd_61a70km	qtd_71a80km	qtd_81a90km	qtd_91a100km	qtd_acimade100km
51	8	FC004REC	1	2025-08-01T00:00:00	13	0-15	0	18	79	38	2	1	0	0	0	0	0
52	8	FC004REC	1	2025-08-01T00:00:00	13	16-30	3	22	69	33	3	1	0	0	0	0	0
53	8	FC004REC	1	2025-08-01T00:00:00	13	31-45	1	30	78	16	0	0	0	0	0	0	0
54	8	FC004REC	1	2025-08-01T00:00:00	13	46-59	1	46	36	3	0	0	0	0	0	0	0
55	8	FC004REC	1	2025-08-01T00:00:00	14	0-15	9	40	44	20	1	0	0	0	0	0	0
56	8	FC004REC	1	2025-08-01T00:00:00	14	16-30	14	50	30	1	0	0	0	0	0	0	0
57	8	FC004REC	1	2025-08-01T00:00:00	14	31-45	10	43	42	8	0	0	0	0	0	0	0
58	8	FC004REC	1	2025-08-01T00:00:00	14	46-59	13	38	53	7	0	0	0	0	0	0	0
59	8	FC004REC	1	2025-08-01T00:00:00	15	0-15	9	28	78	21	2	0	0	0	0	0	0
60	8	FC004REC	1	2025-08-01T00:00:00	15	16-30	1	31	69	14	3	1	0	0	0	0	0
61	8	FC004REC	1	2025-08-01T00:00:00	15	31-45	0	32	46	25	7	0	0	0	0	0	0
62	8	FC004REC	1	2025-08-01T00:00:00	15	46-59	2	19	54	26	5	1	0	0	0	0	0
63	8	FC004REC	1	2025-08-01T00:00:00	16	0-15	1	31	73	36	7	0	0	0	0	0	0
64	8	FC004REC	1	2025-08-01T00:00:00	16	16-30	1	28	44	30	10	1	0	0	0	0	0
65	8	FC004REC	1	2025-08-01T00:00:00	16	31-45	0	27	88	19	4	1	0	0	0	0	0
66	8	FC004REC	1	2025-08-01T00:00:00	16	46-59	6	40	72	19	2	0	0	0	0	0	0
67	8	FC004REC	1	2025-08-01T00:00:00	17	0-15	7	53	96	14	2	0	0	0	0	0	0
68	8	FC004REC	1	2025-08-01T00:00:00	17	16-30	1	28	76	27	2	1	0	0	0	0	0
69	8	FC004REC	1	2025-08-01T00:00:00	17	31-45	2	31	55	36	8	1	0	0	0	0	0
70	8	FC004REC	1	2025-08-01T00:00:00	17	46-59	1	40	46	16	4	0	0	0	0	0	0
71	8	FC004REC	1	2025-08-01T00:00:00	18	0-15	2	33	103	26	2	0	0	0	0	0	0
72	8	FC004REC	1	2025-08-01T00:00:00	18	16-30	4	31	60	23	4	2	0	0	0	0	0
73	8	FC004REC	1	2025-08-01T00:00:00	18	31-45	1	24	58	22	5	1	0	0	0	0	0
74	8	FC004REC	1	2025-08-01T00:00:00	18	46-59	2	12	43	17	3	0	0	0	0	0	0
75	8	FC004REC	1	2025-08-01T00:00:00	19	0-15	0	17	38	10	2	0	0	0	0	0	0
76	8	FC004REC	1	2025-08-01T00:00:00	19	16-30	3	24	45	13	4	1	0	0	0	0	0
77	8	FC004REC	1	2025-08-01T00:00:00	19	31-45	1	27	36	18	5	2	0	0	0	0	0
78	8	FC004REC	1	2025-08-01T00:00:00	19	46-59	0	21	36	11	8	2	0	0	0	0	0
79	8	FC004REC	1	2025-08-01T00:00:00	20	0-15	0	24	34	27	8	0	0	0	0	0	0
80	8	FC004REC	1	2025-08-01T00:00:00	20	16-30	2	9	32	30	4	0	0	0	0	0	0
81	8	FC004REC	1	2025-08-01T00:00:00	20	31-45	4	12	22	23	7	0	0	0	0	0	0
82	8	FC004REC	1	2025-08-01T00:00:00	20	46-59	0	7	14	29	5	1	0	0	0	0	0
83	8	FC004REC	1	2025-08-01T00:00:00	21	0-15	1	9	12	21	11	0	0	0	0	0	0
84	8	FC004REC	1	2025-08-01T00:00:00	21	16-30	1	7	14	25	7	1	0	0	0	0	0
85	8	FC004REC	1	2025-08-01T00:00:00	21	31-45	2	9	14	27	5	0	0	0	0	0	0
86	8	FC004REC	1	2025-08-01T00:00:00	21	46-59	2	7	6	23	8	0	0	0	0	0	0
87	8	FC004REC	1	2025-08-01T00:00:00	22	0-15	2	5	7	24	5	0	0	0	0	0	0
88	8	FC004REC	1	2025-08-01T00:00:00	22	16-30	2	5	10	24	8	2	0	0	0	0	0
89	8	FC004REC	1	2025-08-01T00:00:00	22	31-45	2	8	17	14	2	0	0	0	0	0	0
90	8	FC004REC	1	2025-08-01T00:00:00	22	46-59	1	4	10	17	4	0	0	0	0	0	0
91	8	FC004REC	1	2025-08-01T00:00:00	23	0-15	2	9	6	13	1	2	0	0	0	0	0
92	8	FC004REC	1	2025-08-01T00:00:00	23	16-30	1	6	13	4	6	0	0	0	0	0	0
93	8	FC004REC	1	2025-08-01T00:00:00	23	31-45	1	12	3	10	7	0	0	0	0	0	0
94	8	FC004REC	1	2025-08-01T00:00:00	23	46-59	0	4	4	4	3	0	0	0	0	0	0
95	8	FC004REC	1	2025-08-02T00:00:00	0	0-15	0	0	3	7	2	0	0	0	0	0	0
96	8	FC004REC	1	2025-08-02T00:00:00	0	16-30	0	1	0	2	0	0	0	0	0	0	0
97	8	FC004REC	1	2025-08-02T00:00:00	0	31-45	0	0	2	1	2	2	0	0	0	0	0
98	8	FC004REC	1	2025-08-02T00:00:00	0	46-59	0	2	3	2	1	1	0	0	0	0	0
99	8	FC004REC	1	2025-08-02T00:00:00	1	0-15	0	1	1	2	3	0	0	0	0	0	0
