id,code,name_concatenated,official_name,short_name,pavement_code,pavement_description
10910,114642,TRV SOLONOPOLIS,Travessa Solonopolis,Trv Solonopolis,X,Não definida
10171,96113,TRV SO NOS DOIS,Travessa Só Nos Dois,Trv So Nos Dois,S,Via Pavimentada
10515,101559,TRV SUBIDA DA UNIAO,Travessa Subida da união,Trv. Subida da união,S,Via Pavimentada
10748,110396,TRV SUCUPIRA,Travessa Sucupira,Trv Sucupira,N,Via Não Pavimentada
11613,123285,TRV SUMARI,Travessa Sumari,Trv. Sumari,X,Não definida
10590,108030,TRV SUZANO,Travessa Suzano,Trv Suzano,X,Não definida
11292,117625,TRV VERTENTES DO LERIO,Travessas Vertentes do Lério,Trv. Vertentes do Lério,N,Via Não Pavimentada
8797,78336,TRV TACAETE,Travessa Tacaete,Trv Tacaete,N,Via Não Pavimentada
11375,118621,TRV TACIABA,Travessa Taciaba,Trv Taciaba,X,Não definida
7464,63266,TRV TAMANDARE,Travessa Tamandaré,Trv Tamandaré,S,Via Pavimentada
8091,70246,TRV TAMBOARA,Travessa Tamboara,Trv Tamboara,S,Via Pavimentada
7862,67490,TRV TANCREDO NEVES,Travessa Tancredo Neves,Trv Tancredo Neves,X,Não definida
11036,114162,TRV TANCREDO NEVES,Travessa Tancredo Neves,Trv Tancredo Neves,X,Não definida
9667,88099,TRV TAPACURA,Travessa Tapacura,Trv Tapacura,N,Via Não Pavimentada
10356,99325,TRV TAPIRAI,Travessa Tapirai,Trv Tapirai,X,Não definida
9283,84140,TRV TAUA,Travessa Taua,Trv Taua,X,Não definida
8883,79677,TRV TAUBATE,Travessa Taubaté,Trv Taubate,X,Não definida
8897,79596,TRV TEIXEIRA,Travessa Teixeira,Trv Teixeira,N,Via Não Pavimentada
340,126284,TRV TENENTE MINDELO,Travessa Tenente Mindelo,Trv Tenente Mindelo,S,Via Pavimentada
11074,114626,TRV TEOFILO OTONI,Travessa Teófilo Otoni,Trv Teofilo Otoni,S,Via Pavimentada
10518,101591,TRV TEREZA CARNEIRO,Travessa Tereza Carneiro,Trv.  Tereza Carneiro,N,Via Não Pavimentada
337,126268,TRV TEREZINA,Travessa Terezina,Trv Terezina,N,Via Não Pavimentada
7182,60984,TRV TIRADENTES,Travessa Tiradentes,Trv Tiradentes,S,Via Pavimentada
11170,116076,TRV TOM JOBIM,Travessa Tom Jobim,Trv Tom Jobim,X,Não definida
11113,115070,TRV TOTA VENTURA,Travessa Tota Ventura,Trv. Tota Ventura,N,Via Não Pavimentada
10206,96628,TRV TRES DE AGOSTO,Travessa Tres de Agosto,Trv Tres de Agosto,S,Via Pavimentada
10764,110590,TRV TUMIRITINGA,Travessa Tumiritinga,Trv Tumiritinga,X,Não definida
10865,111880,TRV TUPIRACABA,Travessa Tupiracaba,Trv Tupiracaba,S,Via Pavimentada
11602,121886,TRV TUTOIA,Travessa Tutoia,Trv Tutoia,S,Via Pavimentada
7265,61700,TRV TUYUTY,Travessa Tuyuty,Trv Tuyuty,S,Via Pavimentada
9254,83887,TRV UBIRATA,Travessa Ubirata,Trv Ubirata,S,Via Pavimentada
11714,125237,TRV ULISSES COSTA,Travessa Ulisses Costa,Trv Ulisses Costa,S,Via Pavimentada
10624,109665,TRV ULISSES MONTARROLHOS,Travessa Ulisses Montarrolhos,Trv Ulisses Montarrolhos,S,Via Pavimentada
10793,111163,TRV URANIA,Travessa Urania,Trv Urania,S,Via Pavimentada
11511,120758,TRV URUGUAIANA,Travessa Uruguaiana,Trv Uruguaiana,X,Não definida
10992,113662,TRV URUPES,Travessa Urupês,Trv Urupes,X,Não definida
8812,78522,TRV VALDEMAR,Travessa Valdemar,Trv Valdemar,S,Via Pavimentada
9310,84522,TRV VALDEMAR FALCAO,Travessa Valdemar Falcão,Trv Valdemar Falcao,S,Via Pavimentada
11245,116980,TRV VALE DO ITAJAI,Travessa Vale do Itajaí,Trv Vale do Itajai,N,Via Não Pavimentada
10141,95451,TRV VALE DO MONTE,Travessa Vale do Monte,Trv. Vale do Monte,N,Via Não Pavimentada
10902,112488,TRV VASCO DA GAMA,Travessa Vasco da Gama,Trv Vasco da Gama,S,Via Pavimentada
716,1600,TRV VENCEDORA,Travessa Vencedora,Trv Vencedora,X,Não definida
11154,115843,TRV VEREADOR OTACILIO AZEVEDO,Travessa Vereador Otacílio Azevedo,Trv Ver Otacilio Azevedo,N,Via Não Pavimentada
9362,85332,TRV VEREADOR SERGIO GODOY,Travessa Vereador Sérgio Godoy,Trv Ver Sergio Godoy,S,Via Pavimentada
8219,71641,TRV VICENTE DO REGO MONTEIRO,Travessa Vicente do Rego Monteiro,Trv Vicente do Rego Monteiro,X,Não definida
11083,114758,TRV VICTOR FELICIANO,Travessa Victor Feliciano,Trv Victor Feliciano,N,Via Não Pavimentada
11828,700223,TRV VINTE E DOIS DE AGOSTO,Travessa Vinte E Dois de Agosto,Trv Vinte e Dois de Agosto,S,Via Pavimentada
8954,80250,TRV VINTE E UM DE SETEMBRO,Travessa Vinte E Um de Setembro,Trv Vinte e Um de Setembro,X,Não definida
8228,71749,TRV VISCONDE DE ARAGUAYA,Travessa Visconde de Araguaya,Trv Visc de Araguaya,S,Via Pavimentada
11304,117730,TRV VISCONDE DE CORREIA BOTELHO,Travessa Visconde de Correia Botelho,Trv Visc de Correia Botelho,S,Via Pavimentada
9706,88552,TRV VISCONDE DE PELOTAS,Travessa Visconde de Pelotas,Trv Visc de Pelotas,N,Via Não Pavimentada
9527,87106,TRV VISCONDE DE SAO LEOPOLDO,Travessa Visconde de São Leopoldo,Trv Visc de São Leopoldo,S,Via Pavimentada
8028,69612,TRV VISCONDE DO URUGUAI,Travessa Visconde do Uruguai,Trv Visc do Uruguai,S,Via Pavimentada
8951,80225,TRV WALDEMAR REIS DO REGO,Travessa Waldemar Reis do Rego,Trv Waldemar Reis do Rego,N,Via Não Pavimentada
11133,115606,TRV WALDEMIR TELES,Travessa Waldemir Teles,Trv Waldemir Teles,S,Via Pavimentada
9311,84530,TRV WASHINGTON DUARTE ESPINDOLA,Travessa Washington Duarte Espíndola,Trv Washington Duarte Espindola,S,Via Pavimentada
2141,14397,TRV XAVIER SOBRINHO,Travessa Xavier Sobrinho,Trv Xavier Sobrinho,X,Não definida
5599,46167,TRV XIMBORE,Travessa Ximboré,Trv Ximbore,N,Via Não Pavimentada
11784,127000,RUA PROFESSOR ANTONIO MARIA CARDOSO,TRV ALTO DO ROSARIO,R. X,X,Não definida
316,119539,TRV NOVA JERUSALEM,TRV NOVA JERUSALEM,R. X,X,Não definida
11697,125032,VDO DA REPUBLICA DO LIBANO,VDO REPUBLICA DO LIBANO,R. X,X,Não definida
9039,81310,VDO ALCA DO COMPLEXO CEASA,Viaduto Alça do Complexo Ceasa,Vdo Alça do Complexo Ceasa,S,Via Pavimentada
9524,87068,VDO ALCA DO COMPLEXO CEASA,Viaduto Alça do Complexo Ceasa,Vdo Alça do Complexo Ceasa,S,Via Pavimentada
9395,85685,VDO ALCA DO COMPLEXO CEASA,Viaduto Alça do Complexo Ceasa,Vdo Alça do Complexo Ceasa,S,Via Pavimentada
